GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "02000","Alaska",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",40263.7,39783.1,38428.1,40014.4,41904.7,41235.0,42880.1,44406.8,47546.2,50126.7,49926.6,54951.9,53652.0,54045.5,57087.4,54627.6,53303.3,53681.1,53463.9,53550.9,52479.6,52377.5,50901.3,51764.0,50509.1,54183.8,55945.7
 "02000","Alaska",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35505.2,35001.4,37959.5,39569.0,40280.7,39504.5,40924.0,41780.8,40448.8,40080.7,40871.3,41762.5,42897.5,42359.2,42901.3,42868.1,44609.1
 "02000","Alaska",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),28878.3,28782.1,30580.9,31246.7,32017.9,32403.8,32825.7,33109.6,33216.6,33316.6,33810.0,34571.7,33101.2,34783.6,36658.2,37288.2,38798.6
 "02000","Alaska",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",24387.8,24920.4,26934.0,28660.9,29884.5,32115.8,35389.5,40459.9,44951.7,49456.4,55246.7,50165.9,53654.0,56912.3,58320.7,57533.0,56587.4,51574.2,51121.8,53550.9,54762.0,54549.6,51861.7,59363.0,65682.5,68232.7,71567.2
 "02000","Alaska",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",18155.9,18706.6,20092.2,21287.1,22331.5,23372.1,24429.2,26019.6,27696.2,29761.3,32860.7,32995.4,35374.3,37870.6,38997.1,38565.1,40642.1,41918.6,41285.5,41919.4,43522.7,44459.7,45375.8,48327.1,50793.7,53322.0,56423.1
 "02000","Alaska",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",16187.6,16719.1,17933.0,18968.7,20293.0,21450.3,22543.5,23868.0,25276.3,26972.1,29693.1,30530.9,32703.9,34789.2,35945.3,35184.4,37075.5,38075.3,37704.1,38525.4,40309.8,40998.2,42058.1,44499.1,45988.3,49095.2,51952.3
 "02000","Alaska",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",14946.5,15883.5,17107.7,18123.5,19432.2,20557.2,21847.5,23354.8,24275.1,25617.0,26749.3,27166.7,28537.5,29947.6,31039.1,31673.2,32641.4,33274.4,33976.4,34926.8,36077.1,36873.0,35109.8,39764.6,43454.4,46417.7,49112.4
 "02000","Alaska",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51647,50081,53163,54766,55096,53525,55480,56528,54411,54022,55403,56834,58522,57677,58413,58204,60272
 "02000","Alaska",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42007,41182,42829,43247,43794,43904,44501,44796,44682,44905,45831,47048,45158,47362,49913,50628,52421
 "02000","Alaska",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29287,29941,31996,33591,34766,36045,37054,39013,41013,43747,47800,47211,49543,52415,53340,52252,55098,56714,55536,56500,58997,60504,61903,65803,69160,72398,76234
 "02000","Alaska",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26112,26760,28557,29933,31592,33081,34194,35787,37430,39647,43193,43684,45803,48150,49166,47672,50263,51514,50719,51925,54642,55794,57377,60591,62617,66659,70193
 "02000","Alaska",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24110,25423,27243,28599,30252,31704,33138,35017,35947,37656,38911,38871,39968,41449,42455,42915,44251,45019,45704,47075,48904,50180,47898,54144,59166,63024,66356
 "02000","Alaska",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.878,106.147,103.099,103.274,102.548,102.052,102.386,103.287,104.073,104.833,104.565,103.041,101.339,104.907,102.101,103.297,102.359
 "02000","Alaska",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.628,94.387,93.318,95.842,96.943,97.746,99.438,100.498,102.287,104.833,106.705,106.657,106.068,114.320,118.539,124.483,126.583
 "02000","Alaska",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",382166,381307,389734,394565,402192,405625,413869,421422,431321,439844,443602,442505,443940,450420,459282,461205,461371,461707,457142,455550,454776,454794,430889,443016,454025,467104,474188
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
