GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "01000","Alabama",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",160396.4,166531.8,168695.3,168448.3,172430.4,178040.0,189913.7,197246.5,199923.9,202025.5,200967.4,194192.1,199455.0,201372.8,203675.5,206962.9,206070.0,208950.3,212862.8,216615.5,220808.8,225272.8,223025.5,233951.1,239846.6,248313.7,255629.4
 "01000","Alabama",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),199198.2,199669.6,199704.6,201259.2,201300.9,201057.7,205206.7,215065.1,214790.7,220317.2,231135.3,235829.8,252590.1,266978.0,257105.1,260500.6,269312.8
 "01000","Alabama",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),164002.0,164315.8,162816.2,163734.0,163476.7,166399.2,169431.7,174983.4,177201.1,181561.7,190049.0,193715.8,192083.7,207416.8,211189.7,214646.7,221136.9
 "01000","Alabama",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",110838.8,116514.3,120522.6,123534.5,128380.9,135212.6,148379.1,158677.3,166048.2,172247.0,174665.6,170876.5,177510.7,182896.7,188280.7,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235859.0,260325.0,286873.3,309543.8,325345.1
 "01000","Alabama",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",99772.9,103204.1,108002.9,111894.1,115007.7,120241.0,128606.3,136087.5,144719.0,151942.6,157780.3,155666.9,162068.8,167882.2,172101.5,173720.7,179487.1,187474.7,190871.8,197963.8,205674.2,215151.8,230878.4,255682.3,262425.8,279484.6,295590.5
 "01000","Alabama",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",88548.4,91473.6,95839.8,99375.0,103906.5,109568.8,117627.3,123206.1,130008.0,136204.2,141827.1,143231.0,148862.1,152835.4,157273.8,157600.0,162978.1,169520.5,172173.6,179134.7,187334.2,195198.8,210594.6,231762.8,232892.4,253546.6,268183.1
 "01000","Alabama",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",80320.5,84866.0,89748.7,93232.7,97220.1,102106.6,108428.7,115631.1,121487.4,126916.4,130009.5,128265.5,132314.4,136772.4,139950.6,143956.7,148385.6,152790.5,157806.1,163523.4,169460.2,177059.6,176055.2,199043.3,215819.9,230469.1,242905.3
 "01000","Alabama",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42219,41966,41709,41819,41592,41325,41984,43809,43554,44481,46440,47130,50186,52875,50649,50902,52216
 "01000","Alabama",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34759,34535,34004,34022,33777,34202,34665,35644,35932,36656,38185,38714,38164,41079,41604,41942,42875
 "01000","Alabama",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22651,23296,24258,25046,25671,26700,28385,29780,31264,32516,33441,32717,33848,34884,35559,35706,36722,38189,38704,39968,41324,42998,45872,50638,51697,54612,57311
 "01000","Alabama",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",20103,20648,21527,22243,23193,24330,25962,26961,28086,29148,30060,30104,31090,31757,32495,32393,33344,34531,34912,36166,37639,39010,41842,45901,45879,49543,51997
 "01000","Alabama",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18235,19157,20158,20868,21700,22673,23932,25303,26245,27160,27555,26958,27634,28420,28916,29589,30359,31123,31999,33014,34048,35385,34980,39421,42516,45034,47096
 "01000","Alabama",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.901,87.786,89.783,90.011,90.559,90.324,90.175,89.741,90.609,90.065,87.378,88.303,87.569,88.062,88.021,89.097,88.823
 "01000","Alabama",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),79.273,78.060,81.266,83.533,85.609,86.513,87.578,87.317,89.055,90.065,89.167,91.402,91.655,95.963,102.192,107.371,109.844
 "01000","Alabama",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2361892,2378217,2392225,2376053,2364829,2371429,2425650,2486829,2545547,2604108,2582600,2479511,2460305,2497974,2503656,2523020,2552256,2587641,2619761,2649222,2692424,2712014,2670980,2769117,2857149,2931413,2969241
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
