GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "05000","Arkansas",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",89905.3,94756.9,95509.8,95528.7,98556.6,102948.0,108581.8,112451.1,114890.4,114026.7,113628.0,109833.1,113000.9,115241.8,116616.2,119842.8,121409.4,121532.5,123034.9,123882.6,126371.2,127220.0,128395.6,137634.8,138672.0,141968.0,147389.9
 "05000","Arkansas",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),117767.6,118635.8,117585.9,121265.3,126793.7,125232.1,130516.4,134891.0,136745.8,140148.5,145325.0,144940.8,154382.4,167035.5,162414.2,166040.2,170535.5
 "05000","Arkansas",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95679.3,96991.4,96629.8,97639.0,98497.3,99344.0,102030.1,105492.6,108090.2,110718.1,115103.8,114963.1,114509.0,123211.2,127764.5,130272.8,132881.8
 "05000","Arkansas",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",62852.0,67279.0,69176.3,71099.6,74453.1,79009.7,85928.6,91133.4,96073.7,98325.0,100206.7,97783.9,101699.3,105697.6,108836.0,114021.1,117388.7,118573.6,120987.4,123882.6,129213.8,132625.8,136145.9,154261.8,167863.5,178114.8,188339.6
 "05000","Arkansas",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",55686.3,57922.1,60886.2,64168.6,65698.8,69656.4,74308.7,77990.4,82891.6,88410.7,92435.6,90992.3,94127.0,100449.5,107007.4,107209.3,113171.5,116632.4,119758.8,123825.4,128970.8,131394.8,142072.2,161493.9,163688.6,173568.3,183201.8
 "05000","Arkansas",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",49470.1,51534.9,54020.7,57065.8,59393.7,63652.8,68042.8,70833.0,75056.5,79532.9,83120.6,83435.7,86387.0,91406.0,97557.8,96883.6,102362.7,105216.0,107887.7,111671.5,117322.8,119267.7,129589.7,145837.8,145592.6,158225.2,167194.3
 "05000","Arkansas",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",44283.3,47305.5,50566.1,52796.3,54843.4,57788.1,61297.4,65560.6,69198.3,72561.3,75160.6,74484.9,77458.3,80992.6,83237.7,85154.6,88584.1,91366.0,94866.1,98052.5,102359.8,104412.9,105667.7,119364.8,128922.2,136285.7,142864.0
 "05000","Arkansas",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40969,40953,40248,41264,42999,42386,44078,45415,45881,46861,48487,48246,51212,55184,53291,54094,55219
 "05000","Arkansas",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33285,33482,33075,33224,33403,33624,34457,35517,36266,37021,38404,38267,37985,40706,41922,42442,43027
 "05000","Arkansas",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",21203,21842,22731,23841,24280,25564,27024,28043,29376,31036,32157,31411,32218,34181,36289,36286,38220,39267,40181,41403,43031,43737,47129,53353,53709,56547,59320
 "05000","Arkansas",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",18836,19433,20168,21202,21949,23360,24746,25469,26599,27920,28916,28802,29569,31103,33084,32791,34570,35424,36198,37340,39144,39700,42988,48181,47771,51548,54137
 "05000","Arkansas",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",16862,17839,18878,19615,20268,21208,22293,23574,24523,25472,26147,25712,26513,27560,28228,28821,29916,30761,31829,32786,34152,34756,35053,39435,42301,44401,46259
 "05000","Arkansas",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.096,86.364,88.561,89.383,89.394,89.493,89.395,89.013,89.298,88.561,87.144,87.744,88.165,88.902,86.913,86.810,86.937
 "05000","Arkansas",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),78.555,76.795,80.160,82.951,84.508,85.717,86.822,86.609,87.766,88.561,88.928,90.823,92.279,96.878,100.906,104.616,107.512
 "05000","Arkansas",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1445536,1460374,1482449,1482587,1478920,1482026,1505086,1537671,1567665,1582826,1579250,1542904,1541250,1561929,1565109,1569358,1587408,1610799,1629734,1639903,1658212,1663305,1639041,1684580,1744586,1789021,1805358
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
