GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "04000","Arizona",6,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",197492.1,214293.9,224729.3,230885.6,238257.1,253743.1,264990.0,283806.2,296424.4,306611.6,302277.9,277412.4,282252.5,290411.3,297077.3,298859.9,301721.2,308582.8,319008.4,333099.0,346398.3,359576.7,366588.0,396457.5,413798.8,427644.0,446968.2
 "04000","Arizona",6,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),244718.7,232375.6,237887.2,247435.9,255416.2,257019.6,267057.4,281366.8,289173.6,304305.2,318094.0,333846.6,361459.0,395881.5,375776.1,388295.5,401032.4
 "04000","Arizona",6,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),216139.8,208670.8,215861.4,221398.1,226490.8,229967.2,237743.3,246536.4,251396.5,264545.7,275538.9,283271.2,281335.5,319401.5,321977.2,329018.6,342330.5
 "04000","Arizona",6,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",144393.2,156442.1,165735.6,172899.6,180844.5,194318.0,207246.3,227997.8,246061.1,261152.8,261005.8,244862.2,250527.0,261691.4,272703.3,278679.5,286676.0,298942.2,313787.1,333099.0,353671.0,375376.7,390503.2,438136.0,488722.2,530105.0,570088.6
 "04000","Arizona",6,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",117835.0,124922.3,135573.8,142097.8,147455.2,156408.8,170443.0,187724.9,207762.6,219579.1,223495.1,212283.6,216223.6,227203.3,236431.4,242030.3,253711.6,267474.1,279696.7,297261.5,315459.0,337257.2,374282.4,415893.1,435718.7,471040.2,498903.6
 "04000","Arizona",6,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",103265.8,109324.1,118337.5,124820.6,132597.0,141828.8,154311.8,167738.1,184940.1,195625.4,201198.3,195955.8,198815.2,206128.2,214865.8,218160.9,228628.0,239543.4,250636.5,266666.0,283699.5,302209.0,337421.5,370827.1,381150.3,424244.0,449934.1
 "04000","Arizona",6,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",103774.8,111890.9,121418.9,127277.9,133667.9,142860.7,155367.0,170011.9,184063.5,194363.4,197557.7,190868.2,196474.0,203580.7,209936.3,216830.0,226151.5,234755.7,243679.6,259029.1,273816.1,286698.1,292116.6,336226.5,373787.8,399443.7,426211.4
 "04000","Arizona",6,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38966,36634,37162,38403,39284,39204,40281,41960,42568,44279,45675,47236,50292,54424,50935,51960,52890
 "04000","Arizona",6,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34415,32897,33721,34362,34835,35078,35859,36766,37007,38494,39564,40080,39144,43910,43643,44027,45148
 "04000","Arizona",6,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",24130,24866,26271,26946,27325,28384,30154,32150,34460,35602,35586,33467,33778,35263,36364,36918,38268,39888,41173,43255,45297,47718,52077,57175,59060,63032,65798
 "04000","Arizona",6,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",21147,21761,22931,23670,24572,25739,27300,28727,30674,31718,32036,30892,31059,31992,33047,33277,34484,35723,36895,38803,40736,42759,46948,50979,51663,56770,59339
 "04000","Arizona",6,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21251,22272,23528,24135,24770,25926,27487,29116,30529,31513,31456,30090,30693,31596,32289,33074,34111,35009,35871,37691,39317,40565,40644,46223,50665,53451,56211
 "04000","Arizona",6,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),102.504,102.865,100.558,99.083,98.050,98.441,97.944,97.865,98.622,97.915,97.381,97.779,99.203,96.600,99.992,100.742,100.677
 "04000","Arizona",6,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),91.403,91.469,91.019,91.952,92.691,94.287,95.124,95.222,96.930,97.915,99.375,101.210,103.832,105.268,116.091,121.405,124.503
 "04000","Arizona",6,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2616288,2695892,2801510,2829002,2847070,2917095,3041449,3219799,3375196,3465065,3402806,3228516,3181563,3239037,3295532,3371101,3448146,3547647,3644791,3740747,3854741,3929587,3919887,4085773,4250495,4404247,4457506
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
