GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "09000","Connecticut",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",212255.0,218860.0,233874.2,236338.1,234307.3,236719.1,252680.8,258203.7,269478.6,278485.4,277793.2,265530.8,266773.4,261555.8,263649.9,258911.0,260605.8,268869.8,268196.2,273875.1,274582.8,275225.4,261737.1,270779.8,279348.5,283228.5,286160.1
 "09000","Connecticut",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),218132.7,215838.8,227267.1,226456.7,225573.1,217200.1,224548.0,228980.2,231197.5,233182.3,246000.2,249219.5,250658.2,264804.1,250541.0,261987.8,272888.7
 "09000","Connecticut",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),148193.3,145204.5,151488.9,150798.5,152264.5,153614.6,158210.8,161201.4,162528.0,165139.7,173133.0,173598.2,167645.5,183278.9,178823.5,186004.9,191152.2
 "09000","Connecticut",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",145299.2,152093.7,165523.4,171124.4,172929.7,177814.8,194722.9,204504.6,219812.2,232626.8,236110.7,231628.0,234022.2,233058.7,239907.5,240549.2,247114.7,260648.5,264760.4,273875.1,280535.4,286451.9,278747.9,297366.0,321625.2,341851.8,356834.9
 "09000","Connecticut",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",126666.4,133690.1,146216.9,154585.9,154452.8,156438.6,164657.4,173328.8,187213.1,201450.4,214658.2,212233.8,219801.3,226305.8,229133.1,223834.3,233084.0,239184.9,243698.7,249451.1,260582.2,267564.2,275029.8,296291.5,309011.4,328729.9,349377.1
 "09000","Connecticut",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",103886.8,109328.9,118615.1,125846.6,131256.0,134382.6,141075.9,146014.1,156951.9,166863.3,180625.9,186416.4,191948.2,194389.7,196342.0,187172.5,195077.7,199677.4,205557.5,210110.4,221036.5,227041.7,233661.8,248453.0,252040.7,278436.2,296556.5
 "09000","Connecticut",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",88363.7,94452.9,100901.9,105264.0,109481.5,115064.8,122069.8,129412.4,136179.5,141740.4,145953.3,142958.8,146714.3,150910.1,154874.3,158507.2,164435.2,168667.3,171683.8,177076.1,183771.4,186723.7,184450.9,205487.5,220822.4,233572.6,244923.5
 "09000","Connecticut",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),61522,60598,63477,63006,62569,60162,62123,63396,64086,64637,68121,69091,70018,73422,69250,71915,74254
 "09000","Connecticut",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41797,40767,42312,41956,42235,42550,43770,44631,45051,45776,47943,48126,46829,50818,49427,51058,52013
 "09000","Connecticut",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",37638,39479,42857,45032,44656,44898,47098,49424,53224,57112,60543,59586,61392,62964,63556,62000,64484,66222,67551,69147,72159,74176,76826,82152,85411,90235,95067
 "09000","Connecticut",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",30870,32285,34766,36660,37949,38568,40352,41636,44621,47307,50944,52338,53613,54085,54461,51845,53970,55283,56979,58242,61208,62942,65270,68888,69664,76430,80694
 "09000","Connecticut",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",26257,27892,29575,30664,31654,33023,34916,36902,38715,40184,41165,40137,40978,41987,42958,43905,45492,46698,47589,49085,50889,51765,51524,56975,61036,64115,66645
 "09000","Connecticut",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),110.451,110.720,106.999,107.834,107.595,107.731,107.015,107.536,107.477,107.228,104.015,103.915,105.119,102.886,106.362,104.201,103.610
 "09000","Connecticut",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),98.488,98.453,96.848,100.074,101.714,103.185,103.934,104.631,105.633,107.228,106.145,107.561,110.024,112.117,123.486,125.573,128.130
 "09000","Connecticut",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2036825,2070018,2118177,2125253,2117721,2112277,2144316,2171965,2202093,2245723,2256077,2196171,2171940,2206253,2223243,2246505,2266061,2288144,2301331,2300273,2314465,2297925,2217480,2289367,2353654,2420056,2430624
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
