GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "11000","District of Columbia",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",88108.1,92096.8,92764.3,96185.3,99014.7,100969.4,106547.2,108884.1,108848.3,112287.6,116213.7,115646.0,120393.2,122636.4,123567.9,124094.8,126883.9,129110.2,132217.8,134298.8,138056.8,138909.7,137828.9,143338.7,143050.8,143179.2,145088.0
 "11000","District of Columbia",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35127.0,35409.2,37010.4,39130.2,40400.3,39794.2,41624.1,45188.4,47338.6,49285.4,49747.8,50962.4,52601.7,54132.6,52270.8,54979.2,57494.6
 "11000","District of Columbia",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33323.8,32626.3,33417.5,34002.7,35340.5,35832.2,36628.4,38266.6,39374.3,41112.1,42172.5,43918.6,40541.7,43683.7,44270.2,46286.8,48421.5
 "11000","District of Columbia",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",54877.4,58948.8,61267.7,65620.0,70078.0,74047.0,80600.7,85414.5,88350.9,94013.8,99240.4,100430.1,106128.6,109953.9,112512.7,114832.7,119998.0,124753.6,129933.5,134298.8,141240.2,145071.4,146854.6,156581.3,165106.2,174250.7,184297.7
 "11000","District of Columbia",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",21514.7,22625.2,24827.6,25742.9,25863.4,26138.6,28379.7,29880.4,31606.5,34095.7,35167.5,35540.0,38212.4,41361.1,42582.3,43213.8,46124.0,49741.7,52190.6,54158.7,56395.7,57511.2,60880.0,65682.9,68247.0,73296.2,78079.5
 "11000","District of Columbia",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",18239.4,19040.6,20802.5,21629.8,22356.7,22646.5,24563.9,25516.2,26908.0,28669.4,29810.1,30977.9,33528.2,35780.5,36504.6,36636.6,39080.4,41864.1,44223.5,45919.1,47652.8,48211.0,51231.9,55129.3,54655.1,60795.8,64863.1
 "11000","District of Columbia",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",19936.5,21239.0,22598.2,23350.2,24355.2,25661.4,27467.8,29000.6,30639.4,32114.9,33389.8,32788.1,34550.3,35991.9,37299.0,38960.6,40640.2,42193.0,43503.2,45283.3,47906.0,49654.6,47050.9,53111.9,57870.7,61756.1,65809.7
 "11000","District of Columbia",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),60539,59790,61203,63372,64062,61773,63647,67939,70295,72407,72574,74146,78403,80885,77241,79990,81872
 "11000","District of Columbia",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),57431,55091,55261,55068,56039,55623,56008,57532,58468,60399,61523,63898,60427,65272,65418,67343,68952
 "11000","District of Columbia",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",38064,39679,43401,44809,45124,45978,49986,52686,55384,59358,60609,60011,63190,66985,67522,67081,70527,74784,77500,79567,82272,83675,90741,98143,100849,106640,111185
 "11000","District of Columbia",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",32269,33392,36365,37650,39006,39835,43265,44991,47151,49912,51376,52307,55444,57947,57885,56871,59757,62941,65669,67462,69518,70144,76361,82374,80764,88453,92365
 "11000","District of Columbia",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",35271,37247,39504,40644,42493,45139,48380,51135,53689,55910,57545,55364,57135,58290,59144,60479,62142,63435,64600,66528,69887,72244,70129,79360,85516,89850,93713
 "11000","District of Columbia",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),112.368,113.017,114.226,114.058,111.644,113.521,114.242,113.321,112.415,110.146,111.317,109.228,110.881,111.572,112.594,110.713,109.901
 "11000","District of Columbia",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.198,100.496,103.390,105.850,105.542,108.731,110.953,110.261,110.486,110.146,113.595,113.061,116.055,121.583,130.722,133.421,135.910
 "11000","District of Columbia",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",698434,711478,735304,741793,757395,754584,763451,769777,777513,788384,794904,795923,809128,826749,834391,848230,860668,873204,892796,902843,914319,915216,866078,869737,895905,908658,914851
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
