GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "10000","Delaware",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",56487.0,60866.2,63388.8,65724.8,63702.5,64316.8,67735.5,66381.2,68411.8,68132.4,65771.3,69186.2,68291.9,71103.5,70562.4,68656.8,73961.7,76211.2,71941.4,69555.6,70856.4,74627.8,72728.8,75205.5,81111.8,82090.9,85350.5
 "10000","Delaware",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40619.4,40385.2,40290.4,42715.8,42684.5,43117.1,43864.3,46921.0,47554.4,48924.4,50605.7,51688.2,54508.4,56795.2,57533.7,56292.2,58050.3
 "10000","Delaware",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36722.4,35915.2,36713.2,37831.5,38278.1,39133.9,39892.8,41535.8,41910.2,42832.7,43894.0,44832.1,44130.9,48197.0,49250.2,50242.6,51253.2
 "10000","Delaware",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",37170.6,40446.5,43559.6,46373.8,45865.4,47839.6,51674.1,52048.6,55567.7,56705.6,55250.8,57729.9,58132.2,61379.4,62342.1,62058.2,68606.0,72352.5,70021.5,69555.6,73376.0,78710.5,77757.2,83554.7,97030.4,103332.5,110971.8
 "10000","Delaware",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",22475.7,24116.7,26586.9,29374.8,30360.3,31071.8,32271.3,33073.3,35003.1,36211.4,36462.9,36610.7,36980.8,39760.6,40122.6,40677.8,42422.9,44626.3,45928.4,48077.1,51150.4,52774.4,55069.8,60175.9,65386.9,66943.8,71594.2
 "10000","Delaware",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",19166.5,20669.2,22975.7,25551.3,27016.5,27861.5,28836.8,29078.3,30756.8,31777.6,32065.8,33163.3,33422.1,35455.8,35844.3,36092.0,37683.7,39461.6,40638.2,42485.7,45357.3,46448.5,48597.9,52565.0,55977.4,58562.7,62747.2
 "10000","Delaware",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",18613.7,19932.1,21313.0,22492.1,23667.0,25210.7,26974.2,28896.5,30342.5,32247.5,32991.9,32599.5,33743.9,35263.8,36028.7,36966.7,38631.3,39570.6,40564.0,42189.8,44457.3,45859.5,44707.9,51169.3,56040.2,59796.3,63253.1
 "10000","Delaware",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45956,45289,44778,47032,46566,46578,46900,49667,49892,50878,52109,52671,54952,56509,56371,54314,55185
 "10000","Delaware",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41547,40276,40803,41655,41759,42275,42653,43966,43970,44543,45198,45685,44490,47954,48255,48477,48724
 "10000","Delaware",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29444,31119,33810,36917,37660,37985,38843,39133,40736,41539,41254,41056,41100,43779,43771,43943,45359,47238,48186,49997,52670,53778,55518,59873,64066,64591,68061
 "10000","Delaware",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25109,26670,29217,32112,33512,34060,34710,34406,35794,36453,36279,37190,37145,39039,39103,38989,40291,41771,42636,44182,46705,47332,48993,52300,54846,56505,59650
 "10000","Delaware",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24385,25719,27103,28267,29357,30820,32468,34191,35312,36992,37327,36558,37503,38827,39305,39934,41305,41886,42558,43874,45778,46731,45072,50912,54908,57695,60131
 "10000","Delaware",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.753,102.077,101.545,100.441,99.566,98.624,99.708,97.913,98.478,98.499,99.252,98.824,96.791,97.425,98.007,98.759,99.808
 "10000","Delaware",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.841,90.768,91.912,93.213,94.124,94.462,96.838,95.269,96.788,98.499,101.283,102.292,101.307,106.167,113.787,119.015,123.429
 "10000","Delaware",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",476426,491018,503458,502735,500634,504089,518094,528665,537096,544935,544865,525596,522361,530360,534253,544691,556449,568832,578605,584693,597021,602769,592176,619925,642859,669568,674338
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
