GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "12000","Florida",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",634032.3,664152.0,693837.3,714638.0,746252.8,781834.2,833946.8,883164.5,909298.9,922288.3,891766.9,840480.6,851956.4,849395.3,857861.3,880183.5,905648.5,945929.0,978989.7,1014866.9,1050433.8,1084913.9,1072481.6,1172655.3,1245927.6,1309392.2,1352275.1
 "12000","Florida",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),801477.9,768651.4,805228.9,823691.3,832186.3,824545.6,867055.0,920269.9,947135.3,1004626.2,1055189.5,1113106.5,1163744.0,1239823.2,1234512.1,1285829.7,1335270.6
 "12000","Florida",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),705517.3,694343.6,707921.9,719809.2,732061.8,749321.8,779630.8,815869.4,840977.4,871156.6,908425.7,938510.8,917797.7,1013913.6,1060655.1,1095471.1,1144372.0
 "12000","Florida",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",428595.6,457607.0,490094.4,519140.7,553359.9,590284.8,647041.8,704890.3,749925.0,781947.3,767357.8,739322.4,752998.4,761043.1,784545.9,819679.8,860112.6,918464.3,964500.8,1014866.9,1072085.6,1133718.0,1144653.2,1300807.8,1473688.1,1624642.3,1726709.9
 "12000","Florida",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",416721.5,435930.4,471588.1,497335.4,514288.8,540366.3,587003.0,637602.8,690506.1,719734.2,725995.0,685982.8,730690.1,769798.4,794071.1,794604.1,848535.3,905450.5,938985.6,1011002.2,1078010.6,1145938.8,1222053.4,1367061.9,1464251.0,1604650.3,1706305.7
 "12000","Florida",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",365875.4,382262.7,412100.4,437155.5,462050.1,492575.7,531753.4,568078.5,614602.2,640772.6,652289.8,631940.5,672161.8,699989.8,720430.1,712530.1,757871.4,802776.3,842025.1,890172.4,964243.6,1023541.5,1088127.2,1204474.9,1242122.2,1408493.0,1499728.9
 "12000","Florida",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",358107.1,380707.7,412229.5,432668.8,447872.2,473974.7,513459.4,557056.5,601060.1,630049.5,639599.5,620446.5,643275.8,673659.9,699466.2,723026.7,763955.0,804074.9,835530.6,878744.1,929973.5,967992.8,966431.3,1120231.9,1259555.7,1368161.5,1463514.5
 "12000","Florida",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43259,41209,42735,43268,43189,42278,43812,45693,46126,48141,49935,52128,53897,56789,55163,56138,57131
 "12000","Florida",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38080,37225,37571,37811,37993,38421,39395,40509,40956,41745,42990,43952,42506,46442,47394,47827,48963
 "12000","Florida",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26909,27662,29387,30405,30815,31779,33706,35736,38009,39184,39185,36777,38779,40437,41211,40743,42877,44957,45730,48447,51015,53666,56597,62617,65429,70057,73006
 "12000","Florida",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23625,24256,25680,26726,27685,28968,30534,31839,33831,34886,35207,33879,35673,36770,37389,36535,38295,39859,41007,42657,45631,47934,50395,55170,55503,61493,64167
 "12000","Florida",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23124,24157,25688,26452,26836,27874,29483,31222,33085,34302,34522,33263,34140,35387,36301,37073,38603,39924,40691,42109,44010,45332,44759,51312,56282,59732,62618
 "12000","Florida",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),101.668,100.491,100.392,100.846,101.072,100.742,100.894,101.290,101.087,100.871,100.318,99.645,100.604,101.389,102.284,103.636,103.414
 "12000","Florida",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.657,89.357,90.868,93.589,95.547,96.491,97.989,98.554,99.352,100.871,102.372,103.141,105.299,110.486,118.753,124.893,127.888
 "12000","Florida",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",8317201,8577884,8881279,8938947,9055665,9283343,9644269,10067135,10383831,10531299,10269510,9841868,9805140,10036679,10249034,10539527,10937534,11367164,11682273,12098388,12556216,12760885,12719408,13456896,14219768,14959611,14957046
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
