GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "13000","Georgia",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",377705.9,404465.2,417713.5,422731.6,427329.7,439074.6,461245.4,480838.3,487524.9,492238.7,481860.3,464016.8,471588.2,481215.4,489027.3,499900.2,517511.9,540108.5,561718.3,583543.3,600934.7,620744.9,603202.5,643748.4,670107.2,679447.2,697450.9
 "13000","Georgia",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),399225.7,403504.3,394716.1,415256.3,410188.3,412257.4,432726.0,460020.3,473413.7,491936.0,508501.9,529625.8,560456.0,583326.0,565521.0,571396.9,592047.5
 "13000","Georgia",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),335688.8,336729.0,330970.1,340701.2,339595.1,348892.8,361530.2,376369.2,386945.8,399194.0,413221.8,426049.5,417507.1,453833.2,468970.9,478811.4,495810.4
 "13000","Georgia",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",265146.4,289048.9,305323.7,316872.7,326017.9,339540.5,364530.1,388707.2,405664.2,419384.8,416303.5,409876.2,419013.1,433137.1,449375.6,467559.5,493370.3,525516.8,554903.2,583543.3,612803.4,646695.8,638488.3,706004.6,785922.7,835755.3,881508.2
 "13000","Georgia",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",205294.0,218718.6,236616.8,248742.5,255977.2,265622.8,280462.4,297084.9,316548.8,331363.7,335257.5,329158.9,337420.5,360456.2,369040.2,374124.6,398585.7,423242.0,441039.1,467592.5,491088.0,516504.2,552699.9,607184.3,627439.0,663930.9,704463.9
 "13000","Georgia",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",177696.0,189089.3,204163.4,215668.7,227556.4,238596.7,252658.5,265059.9,280546.2,292649.9,297774.6,299789.2,306298.0,324492.2,332462.4,333490.4,355074.7,375453.3,392132.8,414875.6,438862.0,460297.2,495060.3,536104.2,539450.6,587425.9,624579.5
 "13000","Georgia",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",161380.3,174395.0,188709.6,197694.0,205273.8,216655.7,230229.2,247103.8,261997.1,277091.5,282133.9,275032.5,283317.5,296156.1,305937.0,317022.1,333433.2,346858.4,361258.0,380330.8,399888.2,416267.9,412860.2,473351.8,520944.7,556786.8,590418.6
 "13000","Georgia",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42002,41941,40640,42349,41403,41305,42937,45136,45879,47171,48278,49762,52219,54051,51732,51643,52952
 "13000","Georgia",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35318,35000,34076,34745,34277,34956,35873,36928,37500,38278,39232,40031,38900,42053,42900,43275,44344
 "13000","Georgia",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26107,27184,28760,29693,30086,30805,31982,33283,34574,35440,35272,34213,34740,36760,37250,37484,39550,41527,42742,44836,46624,48529,51496,56262,57396,60006,63006
 "13000","Georgia",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22597,23501,24815,25745,26745,27670,28812,29696,30641,31299,31329,31160,31536,33092,33557,33413,35232,36838,38002,39782,41666,43248,46126,49676,49347,53091,55861
 "13000","Georgia",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20523,21675,22937,23600,24126,25126,26254,27684,28615,29635,29683,28587,29170,30203,30880,31763,33085,34033,35010,36469,37966,39112,38467,43861,47654,50322,52806
 "13000","Georgia",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.254,91.854,94.574,93.666,95.298,94.868,94.962,94.717,94.991,95.275,94.832,94.392,94.478,95.713,95.678,96.494,96.293
 "13000","Georgia",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),84.046,81.678,85.602,86.925,90.089,90.865,92.228,92.159,93.361,95.275,96.773,97.704,98.887,104.301,111.083,116.285,119.082
 "13000","Georgia",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4607959,4728750,4860810,4871814,4858410,4895367,5021804,5195948,5358151,5490802,5451004,5247101,5211443,5325710,5384734,5497190,5671135,5832928,5973764,6128089,6287460,6398769,6326540,6638744,6939403,7094400,7180379
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
