GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "15000","Hawaii",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",58946.1,59612.1,60745.7,60446.4,62355.2,65623.7,69332.0,72941.9,74892.9,76434.1,76830.2,74118.5,76130.2,77174.2,78694.0,80534.9,81304.9,83857.6,85670.4,87436.4,88836.4,88855.2,79696.8,84532.0,87491.2,89642.2,91878.0
 "15000","Hawaii",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),57056.0,55352.8,57204.3,58130.7,59767.8,57689.2,60761.9,62967.7,65635.7,66825.6,66626.3,68056.0,69991.5,72417.4,70609.8,73399.8,75592.6
 "15000","Hawaii",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48416.9,46865.0,48416.9,48791.9,50281.0,49968.1,51694.6,52720.6,54266.9,55509.9,56514.8,57788.5,54061.1,58646.1,60840.4,62996.1,64569.6
 "15000","Hawaii",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",37503.0,38970.4,41089.4,42500.2,44949.5,48420.7,52625.7,57211.8,60848.0,64106.0,65545.5,64464.3,66739.3,68801.1,71645.6,74598.5,77043.0,81410.2,84287.2,87436.4,90933.5,93240.2,84788.0,93684.2,103954.5,111740.2,117627.4
 "15000","Hawaii",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",32355.7,33425.6,35403.1,36996.8,38865.6,40734.2,43729.2,46898.1,50182.6,53022.5,55802.6,55409.0,56649.4,59226.4,61161.6,61983.4,65182.2,68200.8,70744.8,73646.4,75266.4,78586.9,82758.5,88650.4,91007.9,96961.4,102703.8
 "15000","Hawaii",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",28491.1,29390.4,31057.3,32527.2,34819.3,36733.3,39412.9,41780.6,44609.2,47113.0,49878.4,50635.3,51879.6,53784.4,55487.6,55608.1,58411.7,60613.2,62818.0,65432.2,67147.3,69866.3,73836.9,78092.8,77976.2,85588.4,90788.7
 "15000","Hawaii",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",27488.8,28515.2,30345.4,31527.9,32673.8,34793.6,37263.4,40427.1,43283.7,45387.4,47392.4,46971.6,48013.4,49781.6,51522.3,53755.6,55526.2,57197.6,58616.6,61319.4,63974.4,66855.0,64097.9,71937.5,78510.7,83283.1,87796.6
 "15000","Hawaii",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42828,41102,41904,41967,42532,40531,42363,43533,45054,45829,45636,46712,48228,50046,49022,50923,52272
 "15000","Hawaii",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36343,34799,35467,35225,35781,35106,36041,36448,37250,38068,38710,39664,37251,40529,42240,43705,44649
 "15000","Hawaii",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26625,27618,29174,30178,31353,32557,34336,36278,38315,40301,41887,41144,41498,42758,43523,43548,45445,47150,48561,50506,51554,53940,57026,61264,63184,67269,71019
 "15000","Hawaii",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23445,24284,25593,26532,28089,29360,30947,32320,34060,35809,37440,37599,38004,38830,39486,39069,40724,41905,43120,44873,45992,47954,50878,53968,54137,59379,62780
 "15000","Hawaii",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22620,23560,25006,25717,26358,27809,29259,31273,33048,34497,35574,34879,35172,35940,36664,37767,38712,39543,40236,42053,43819,45887,44167,49714,54508,57780,60711
 "15000","Hawaii",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),109.773,112.715,109.560,109.940,108.393,112.319,110.596,111.504,109.901,110.466,110.929,111.767,113.279,112.564,111.148,109.703,109.951
 "15000","Hawaii",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.884,100.227,99.166,102.028,102.469,107.580,107.412,108.492,108.015,110.466,113.199,115.689,118.566,122.664,129.044,132.204,135.972
 "15000","Hawaii",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",738175,738111,749439,752548,757694,773609,797234,819967,842375,864610,858384,829885,824450,834994,849130,868191,882702,901126,914921,921135,924352,913949,817466,860689,895965,918356,928210
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
