GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "16000","Idaho",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",40879.3,44821.5,49793.0,48695.4,49840.5,51542.6,55137.1,59331.9,60738.6,61812.1,63878.2,61276.1,62626.4,62704.0,62007.3,64769.8,66784.9,67790.5,70442.5,72935.1,77652.1,81144.3,82711.6,88955.2,92792.5,95286.5,99567.3
 "16000","Idaho",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),59287.9,57579.4,59592.3,60853.8,63138.7,64487.6,67009.9,70499.1,73782.2,75795.7,81917.4,86874.6,96790.7,106366.6,104167.8,105063.9,105717.2
 "16000","Idaho",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49452.5,48190.1,49561.8,49866.7,50895.6,52667.5,54375.9,55404.0,58656.8,60035.4,64185.3,65586.2,67480.3,76142.6,79980.5,81323.8,81522.8
 "16000","Idaho",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",31352.7,34512.8,38344.1,37740.9,38990.7,40778.6,44732.9,48805.1,51099.0,53712.4,56203.6,54507.9,56086.2,57418.2,57933.7,61712.6,64501.7,66064.9,69185.2,72935.1,79072.4,84429.4,88056.8,99884.1,112609.7,120588.1,129018.2
 "16000","Idaho",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",28498.1,30180.1,32667.0,34059.4,35213.9,36454.9,39386.7,41724.7,45887.7,48853.5,50157.4,48498.8,50201.9,53076.5,55719.8,57790.6,60897.0,64564.3,67294.1,71472.6,76529.6,82967.7,91960.1,105916.0,110891.1,116692.4,124746.7
 "16000","Idaho",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",25221.8,26588.4,28607.7,30013.8,31885.1,33232.1,35912.0,37401.4,40807.5,43427.9,45030.1,44632.5,46203.4,48406.4,50778.0,52301.8,55056.4,58068.7,60326.5,64179.3,69122.7,74639.1,82437.4,93890.3,97095.5,104396.0,111504.1
 "16000","Idaho",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",22579.8,24178.3,26126.5,27315.3,28411.8,30199.6,32418.9,35258.5,38332.4,41044.6,41871.2,40641.4,41809.5,43554.9,44975.4,47257.8,49478.7,50824.9,53613.5,56744.1,60086.6,62753.4,64288.6,75973.6,85245.2,90395.4,96273.1
 "16000","Idaho",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38641,37042,37925,38348,39447,39836,40832,42381,43476,43689,46299,48040,52336,55840,53576,53302,52816
 "16000","Idaho",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32231,31002,31541,31424,31798,32534,33133,33307,34563,34605,36277,36268,36487,39973,41136,41258,40728
 "16000","Idaho",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22756,23658,25139,25803,26272,26739,28299,29214,31244,32459,32690,31200,31948,33447,34812,35699,37107,38813,39653,41197,43254,45880,49724,55603,57034,59201,62323
 "16000","Idaho",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",20140,20843,22016,22738,23788,24375,25803,26187,27785,28854,29349,28713,29404,30504,31724,32308,33548,34908,35547,36993,39068,41274,44575,49290,49939,52963,55707
 "16000","Idaho",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18030,18953,20106,20694,21197,22151,23293,24687,26100,27270,27290,26145,26608,27447,28099,29192,30149,30554,31591,32708,33961,34701,34762,39884,43844,45860,48098
 "16000","Idaho",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.953,94.843,93.200,94.115,93.477,93.681,93.691,94.281,92.998,94.518,91.736,92.437,91.023,91.563,91.802,92.236,95.494
 "16000","Idaho",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),84.670,84.335,84.358,87.343,88.368,89.729,90.994,91.735,91.402,94.518,93.614,95.681,95.270,99.778,106.583,111.155,118.093
 "16000","Idaho",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",732684,747188,776910,783399,791317,800916,825332,861531,899836,929492,921093,880489,868683,878537,883162,903016,925548,949392,976719,1007831,1041387,1063420,1077556,1136875,1179749,1217054,1230617
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
