GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "17000","Illinois",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",639642.7,663857.8,687111.4,688404.3,692398.1,703548.8,726139.0,741248.6,759825.7,769571.6,759095.3,740794.3,755391.4,772225.6,790723.3,795435.2,811490.1,825424.9,826404.7,832826.8,851517.2,858018.3,810693.1,857114.6,872907.5,884965.3,899125.9
 "17000","Illinois",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),616665.2,582684.3,587940.9,601301.9,623089.4,632058.1,650928.3,683950.7,681158.4,685499.0,706702.3,722038.9,752707.9,770715.5,731815.7,762930.5,766844.7
 "17000","Illinois",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),484856.8,469610.6,476343.4,480783.9,487816.0,496417.9,509151.7,527780.6,534212.9,538218.5,548709.9,558318.1,535626.2,570600.0,587745.7,614454.9,623219.9
 "17000","Illinois",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",436533.4,459971.6,486089.7,499618.4,511485.9,528577.0,560079.8,589153.7,624068.1,649307.4,649677.3,645843.2,663929.0,691805.5,725478.0,742890.9,772291.7,802592.0,813561.6,832826.8,871024.2,895601.8,860807.8,947223.9,1037735.9,1100794.1,1148106.1
 "17000","Illinois",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",366594.1,382605.3,411220.9,427182.4,432381.6,440480.1,457834.3,475646.2,506021.6,535102.6,551159.7,525793.9,540880.9,568230.3,593814.2,605681.6,629465.0,657080.2,664686.8,685632.7,722686.6,741904.7,788153.3,849243.1,858844.4,907225.7,947182.8
 "17000","Illinois",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",314354.8,327467.3,351878.2,368530.2,381409.5,393351.4,409868.0,421300.6,444916.2,466928.2,481936.3,474337.2,485767.9,501181.2,523039.5,528372.8,548692.2,570633.8,580489.9,601729.6,635136.3,651530.8,697054.7,739846.8,727164.4,791156.7,825671.0
 "17000","Illinois",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",274303.2,289479.4,311531.8,322195.6,331449.3,345707.9,363646.5,384010.6,403497.1,423685.4,433710.5,424293.3,438819.8,454980.3,465517.9,476304.5,492993.4,507894.4,522413.6,539587.6,562269.9,574747.9,562389.6,630011.2,690597.8,731239.9,770388.8
 "17000","Illinois",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48377,45534,45770,46640,48199,48770,50191,52761,52619,53045,54837,56192,58809,60683,57980,60348,60333
 "17000","Illinois",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38037,36698,37083,37292,37735,38304,39259,40714,41268,41648,42577,43451,41849,44927,46566,48603,49033
 "17000","Illinois",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29873,30958,33072,34206,34520,35081,36366,37720,40021,42148,43238,41088,42107,44075,45934,46735,48536,50688,51347,53056,56077,57738,61579,66866,68044,71761,74522
 "17000","Illinois",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25616,26496,28299,29510,30451,31328,32556,33410,35188,36778,37808,37067,37816,38874,40460,40770,42308,44020,44843,46563,49284,50705,54461,58253,57612,62580,64962
 "17000","Illinois",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22352,23423,25055,25799,26462,27533,28884,30453,31912,33372,34024,33156,34161,35291,36010,36752,38013,39180,40356,41754,43629,44729,43940,49605,54715,57841,60612
 "17000","Illinois",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.316,101.607,101.778,101.971,100.947,100.175,99.697,98.903,99.498,100.254,100.416,99.453,100.315,101.321,101.205,98.752,99.958
 "17000","Illinois",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.451,90.350,92.123,94.633,95.429,95.948,96.826,96.232,97.791,100.254,102.471,102.943,104.997,110.412,117.499,119.006,123.614
 "17000","Illinois",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",7139373,7218569,7357491,7309738,7217677,7191483,7244979,7334786,7448634,7577703,7553123,7304369,7251061,7376147,7434721,7503553,7613604,7748859,7804672,7823072,7880803,7859167,7520041,7749971,7992113,8170725,8216215
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
