GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "20000","Kansas",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",112625.7,115486.4,118840.9,119474.1,121050.5,123486.7,124793.2,129588.2,136135.8,143586.6,147265.0,141902.5,143870.1,147836.8,150077.1,150702.9,154110.1,158602.6,164643.7,166273.6,169796.9,169562.3,166621.4,170401.2,177776.1,180267.5,181599.6
 "20000","Kansas",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),144005.8,136767.9,135441.0,143295.9,147414.0,149593.2,149183.9,151058.5,151466.6,154709.4,156591.3,159704.4,168526.7,175277.6,174906.3,173147.6,175777.6
 "20000","Kansas",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),110665.1,106301.7,105776.4,107596.2,107507.1,108689.1,109738.9,112752.0,115312.5,117377.7,117992.6,119234.7,117569.0,125923.9,131791.1,133679.9,136236.6
 "20000","Kansas",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",78242.3,81609.7,85990.5,88869.7,91359.0,95236.3,98913.7,105343.9,113831.8,123608.9,129223.2,126049.7,129235.7,136747.1,141812.1,144999.3,150276.1,155699.0,162144.5,166273.6,173373.0,176068.8,175385.6,188993.3,213368.8,224851.3,230522.1
 "20000","Kansas",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",69711.2,71968.6,75870.8,78490.8,79285.4,81768.2,84076.9,88784.0,97838.9,105082.6,115298.3,111558.9,113843.0,123198.9,129849.7,132519.0,134773.9,136189.1,136753.6,141311.8,147407.4,153011.9,162277.2,173977.0,181747.0,187457.3,195633.0
 "20000","Kansas",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",60857.4,62775.8,66047.4,68631.9,70747.0,73743.6,75921.4,79360.5,86988.4,92794.7,102414.4,101627.0,103304.0,110895.4,117210.5,118814.7,120832.3,121933.7,122553.1,126799.2,132255.8,137015.3,145849.3,154620.7,158774.5,167296.5,174484.5
 "20000","Kansas",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",53617.7,57333.0,61303.2,63683.6,65329.7,68531.2,72552.8,76553.7,81251.6,85824.2,88677.2,86817.3,89031.3,92636.2,94824.3,96405.5,99265.8,101823.5,104334.8,107464.7,111300.0,114450.9,113520.1,125242.7,137110.5,144840.9,151745.2
 "20000","Kansas",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51283,48282,47376,49885,50988,51553,51238,51685,51744,52848,53415,54437,57358,59652,59546,58664,59172
 "20000","Kansas",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39410,37527,37000,37457,37185,37457,37691,38578,39393,40096,40249,40642,40014,42855,44868,45292,45862
 "20000","Kansas",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26201,26871,28166,29047,29218,30029,30748,32340,35411,37748,41060,39382,39821,42889,44913,45669,46289,46597,46717,48271,50282,52156,55231,59209,61875,63513,65856
 "20000","Kansas",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22874,23438,24519,25399,26072,27082,27766,28908,31484,33334,36471,35876,36135,38606,40541,40946,41501,41719,41866,43314,45114,46703,49639,52622,54054,56682,58737
 "20000","Kansas",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20153,21406,22758,23568,24075,25168,26534,27885,29408,30830,31579,30648,31143,32249,32798,33224,34094,34839,35643,36709,37966,39012,38636,42624,46679,49074,51082
 "20000","Kansas",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.864,91.846,92.991,92.772,93.303,92.606,93.138,92.814,92.059,91.555,92.436,92.734,92.251,91.270,89.609,89.908,90.068
 "20000","Kansas",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),80.131,81.671,84.169,86.096,88.203,88.698,90.456,90.307,90.480,91.555,94.328,95.988,96.556,99.459,104.036,108.349,111.384
 "20000","Kansas",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1723552,1740420,1760312,1767601,1746039,1733661,1750839,1765616,1795475,1844345,1858080,1813192,1801894,1819054,1841411,1868968,1895912,1910992,1916188,1913433,1925926,1923958,1878986,1920129,1955078,1998458,2015348
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
