GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "23000","Maine",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",48138.5,50620.3,52958.5,54066.2,55406.5,56882.4,58934.8,59589.7,59986.0,60032.6,59845.1,58771.8,59958.5,59429.7,59181.7,59013.9,59589.8,60563.0,62037.1,63000.6,64806.3,66758.4,67639.2,71353.5,72884.4,75514.0,77758.6
 "23000","Maine",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),56066.9,56306.5,57282.2,58987.7,58150.6,56601.9,61269.2,61585.4,62182.5,63433.7,64823.6,68692.4,72558.9,77352.3,73361.1,77652.2,80760.2
 "23000","Maine",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51827.5,51981.5,53552.7,55006.8,53769.2,53583.1,57200.0,56760.6,58067.7,59613.1,61331.1,63606.0,61568.1,67446.1,66947.4,70777.9,73805.5
 "23000","Maine",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",32412.8,34714.7,37222.0,38925.7,40664.1,42493.4,45233.1,47028.1,48889.3,50291.3,51001.9,51451.2,52802.5,53104.5,54018.5,54924.8,56537.4,58755.8,61092.2,63000.6,66216.0,69708.7,72309.7,79407.6,86310.6,93743.8,99174.1
 "23000","Maine",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",31264.4,32675.4,35091.4,37055.0,38290.7,40162.9,42164.5,43103.5,45226.0,46979.3,49175.8,49337.0,50487.0,52539.8,53227.3,53240.2,54984.6,57356.5,59286.8,61740.1,64463.2,67852.8,74137.0,81887.1,85704.2,91602.3,96850.3
 "23000","Maine",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",27435.9,28674.6,30640.2,32492.0,34275.1,36336.7,38225.9,38722.3,40496.6,41934.5,44003.4,45094.6,46126.8,47543.6,48197.8,47819.9,49435.7,51298.6,52865.1,55340.1,58105.0,60761.2,66681.8,72958.0,74713.9,81951.8,86751.4
 "23000","Maine",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",26837.0,28794.2,30892.4,32644.0,34534.7,36525.6,38696.2,40878.1,42680.5,44182.6,45495.1,45604.6,47264.9,49062.9,49282.6,50464.5,51398.4,52951.5,55482.4,58157.7,61115.1,62945.6,63080.0,71544.7,78305.7,83558.4,88579.8
 "23000","Maine",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42139,42349,43135,44350,43691,42472,45839,46105,46395,47164,47996,50601,53173,56096,52743,55480,57480
 "23000","Maine",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38953,39096,40327,41357,40399,40207,42795,42493,43325,44323,45410,46854,45119,48912,48132,50568,52530
 "23000","Maine",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",24830,25793,27478,28821,29546,30740,32096,32684,34168,35402,36960,37107,38018,39502,39992,39950,41137,42939,44234,45905,47729,49983,54330,59384,61617,65447,68932
 "23000","Maine",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",21790,22635,23993,25272,26448,27812,29098,29362,30595,31600,33073,33916,34735,35745,36213,35883,36986,38404,39443,41146,43021,44759,48866,52909,53715,58552,61744
 "23000","Maine",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21314,22730,24190,25390,26648,27957,29456,30997,32245,33294,34194,34300,35592,36888,37028,37867,38454,39641,41396,43241,45250,46368,46227,51884,56298,59700,63046
 "23000","Maine",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),98.443,98.663,97.509,96.111,96.955,98.329,92.521,95.879,97.216,97.559,97.649,95.607,97.888,97.343,100.746,97.964,97.050
 "23000","Maine",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.782,87.733,88.259,89.194,91.656,94.180,89.857,93.289,95.548,97.559,99.648,98.962,102.456,106.077,116.966,118.057,120.018
 "23000","Maine",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",748614,762975,784039,787577,790595,794492,807610,809340,817608,828243,823556,800553,791385,794415,796939,803582,810909,816586,826729,834280,843918,842370,812984,849229,867629,893054,903041
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
