GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "26000","Michigan",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",431274.3,457637.6,467654.4,453301.5,465788.4,477085.4,485082.7,493796.3,483763.6,482935.1,455256.7,416297.1,441271.5,453989.1,463302.6,472779.9,479534.9,490618.7,500159.5,505101.5,516843.0,521085.1,502622.3,528701.8,539807.5,554556.2,562177.6
 "26000","Michigan",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),417263.5,397555.8,404950.0,422784.4,431971.7,429232.4,439786.2,471589.9,480824.3,491723.9,492656.7,496915.8,539756.7,559092.6,537261.1,543524.1,543212.8
 "26000","Michigan",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),352925.6,346797.8,353761.0,362715.0,369010.9,374633.7,383260.3,402583.4,414494.7,427562.8,427984.0,429760.5,419887.1,451758.8,460283.7,461603.0,461882.2
 "26000","Michigan",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",311088.2,337150.2,351879.5,349127.5,363372.1,376123.8,388764.6,402828.8,402537.3,410613.0,391633.6,371707.0,393179.6,408354.1,426141.1,441470.8,456123.5,479222.7,494752.5,505101.5,525240.8,540237.3,530161.3,573329.4,624173.2,676030.8,702466.9
 "26000","Michigan",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",268711.9,282128.9,301060.4,306670.4,306427.1,313961.0,322698.4,329235.3,336842.6,346731.9,356356.2,339100.0,352074.3,372954.2,387339.2,390857.9,407267.0,429284.9,441557.2,454894.8,474208.0,489569.6,532019.9,573255.7,583072.1,617163.2,645846.8
 "26000","Michigan",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",230722.7,242457.1,260067.6,266757.7,272152.4,281694.2,290993.3,295223.5,301200.4,308420.9,317728.0,310788.5,321080.3,336072.2,348254.6,347736.1,362554.6,380285.6,389478.1,402996.6,422585.8,436457.0,479481.9,511429.9,508592.6,552236.0,577848.3
 "26000","Michigan",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",202855.9,216134.0,229632.2,237866.0,245733.8,254913.0,266257.0,276793.6,285254.8,293376.0,301658.4,296177.6,307993.0,320415.1,331325.9,341572.6,355375.1,367082.2,381461.5,396468.1,412800.9,424195.6,415005.4,464140.9,500132.9,524552.9,549582.5
 "26000","Michigan",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41949,40151,40986,42724,43541,43149,44089,47218,48000,48928,48921,49306,53586,55679,53454,53903,53569
 "26000","Michigan",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35481,35024,35805,36654,37195,37661,38422,40309,41378,42544,42499,42643,41686,44990,45795,45779,45548
 "26000","Michigan",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27286,28506,30250,30694,30595,31267,32092,32756,33563,34669,35826,34247,35635,37689,39042,39292,40829,42982,44080,45264,47089,48577,52818,57090,58012,61206,63690
 "26000","Michigan",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23429,24498,26131,26699,27173,28054,28939,29372,30012,30838,31942,31388,32498,33962,35103,34957,36347,38076,38881,40100,41963,43307,47602,50932,50602,54767,56984
 "26000","Michigan",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20599,21838,23073,23808,24535,25387,26479,27539,28423,29334,30327,29912,31173,32379,33396,34337,35627,36754,38081,39450,40991,42091,41201,46223,49760,52022,54197
 "26000","Michigan",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.855,96.044,96.187,95.188,94.979,95.192,95.473,93.713,93.637,92.727,94.518,95.359,94.431,94.281,93.589,94.296,96.217
 "26000","Michigan",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.474,85.404,87.062,88.338,89.788,91.175,92.724,91.182,92.030,92.727,96.452,98.705,98.837,102.741,108.658,113.637,118.988
 "26000","Michigan",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",5383530,5485654,5621494,5526201,5466125,5441678,5467547,5491717,5457438,5457366,5337592,5046457,5038098,5165197,5234356,5323127,5412068,5501527,5575793,5631139,5715122,5713441,5388496,5602313,5803660,5938910,5980562
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
