GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "27000","Minnesota",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",237724.0,247004.7,263345.6,263518.7,268982.8,280796.9,293753.9,301761.2,302272.7,304208.0,309290.4,296875.2,308091.9,315213.3,321053.9,329774.5,338623.9,345456.2,350603.6,354721.9,364799.7,369617.4,357831.5,377975.8,385921.8,389864.5,399253.3
 "27000","Minnesota",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),261521.9,246802.2,256179.5,268107.3,277821.7,276215.2,283351.7,298255.6,303050.0,312652.6,313085.9,322728.2,343436.4,361668.8,352067.1,353202.1,359401.5
 "27000","Minnesota",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),217694.6,210671.0,216650.5,221478.3,223402.2,227052.3,229916.5,237784.6,244446.6,252192.1,251444.0,255519.7,243870.7,261049.3,270219.1,271108.0,277559.0
 "27000","Minnesota",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",167867.4,176780.4,192389.5,196869.4,204061.1,215975.1,231949.4,244635.4,252357.6,261250.7,268771.5,262628.8,274649.2,287070.8,298641.4,311752.1,324701.5,336762.0,345248.8,354721.9,372439.2,384850.2,378969.4,416141.9,457393.8,483222.0,507687.8
 "27000","Minnesota",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",140269.1,147376.2,159595.4,166509.0,170085.2,177862.3,188674.9,193583.8,203249.5,215185.4,225533.5,216335.4,225971.6,241599.5,255427.7,257507.8,270190.2,282988.0,288866.6,301749.0,317564.8,329291.6,350470.0,387015.8,397877.4,418091.0,437981.9
 "27000","Minnesota",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",119290.6,126254.6,135777.2,142680.9,148378.5,157083.2,167398.3,169647.8,177216.9,186764.6,195929.5,193510.5,201253.4,212489.9,224772.6,223396.0,234034.9,243358.4,248326.8,260814.3,276135.7,286019.7,306827.3,336409.1,338116.4,365814.5,383104.4
 "27000","Minnesota",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",113619.5,122542.9,133055.8,139164.2,144907.2,152249.8,161273.5,167954.3,175471.9,181235.3,187892.3,184896.8,191367.0,199861.6,205669.3,211942.7,219517.6,225990.2,233506.2,243968.6,255563.4,261201.9,249548.7,279910.2,305747.4,321165.8,338511.8
 "27000","Minnesota",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49842,46732,48225,50086,51554,50857,51761,54124,54535,55771,55408,56749,60139,63244,61533,61394,62039
 "27000","Minnesota",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41489,39891,40784,41375,41456,41805,42000,43150,43989,44986,44499,44931,42704,45649,47228,47124,47912
 "27000","Minnesota",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29141,30240,32348,33417,33889,35195,37084,37812,39362,41325,42983,40963,42538,45134,47399,47413,49357,51353,51982,53826,56201,57903,61370,67676,69539,72673,75603
 "27000","Minnesota",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",24783,25906,27520,28635,29564,31084,32902,33137,34321,35867,37341,36641,37885,39696,41710,41132,42752,44162,44687,46524,48869,50294,53728,58827,59095,63586,66131
 "27000","Minnesota",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23605,25145,26969,27929,28872,30127,31699,32806,33983,34805,35809,35010,36024,37337,38165,39023,40100,41010,42020,43519,45228,45930,43698,48947,53437,55825,58433
 "27000","Minnesota",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),96.793,98.701,97.587,97.237,97.385,97.458,98.307,97.678,97.192,96.739,99.599,98.759,97.766,98.396,97.457,98.302,98.621
 "27000","Minnesota",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),86.310,87.766,88.330,90.240,92.062,93.345,95.477,95.040,95.524,96.739,101.638,102.224,102.328,107.225,113.148,118.464,121.960
 "27000","Minnesota",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3189396,3256931,3330936,3347326,3337728,3347012,3390375,3448129,3495694,3540345,3526233,3424125,3408488,3468973,3505288,3555540,3603670,3662633,3697854,3735638,3776940,3782570,3607402,3711169,3799319,3887335,3920236
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
