GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "29000","Missouri",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",249234.0,256290.4,262665.4,260381.1,264997.7,271970.5,279128.2,285341.7,286558.3,288320.8,297881.8,289566.8,295986.4,292984.2,296514.3,302025.7,303617.8,308009.9,308423.3,311273.8,314182.4,321329.1,316158.6,331578.0,337225.4,346895.3,353307.4
 "29000","Missouri",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),279120.5,269314.8,263509.6,269311.9,276127.1,273143.4,276962.3,289386.5,297015.5,299142.2,305993.4,311223.5,334013.0,350962.0,342753.5,353314.5,361302.7
 "29000","Missouri",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),237299.5,229583.9,227400.4,231919.8,235185.2,235720.9,237735.5,246720.4,252452.6,256429.6,261290.8,261583.1,257250.1,276912.4,286736.3,295484.3,302541.8
 "29000","Missouri",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",170122.2,178215.9,187012.8,190388.7,197399.0,206005.2,216977.5,227594.6,235816.9,244085.3,256431.1,254306.2,262013.4,263330.0,272482.4,282659.7,289340.7,299597.7,304143.3,311273.8,320451.6,334750.2,335970.8,366193.1,397536.9,428887.3,448713.7
 "29000","Missouri",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",140839.7,146172.5,156202.1,161531.2,165389.8,171593.2,180453.8,186770.9,197834.1,207411.3,219922.0,216424.5,221760.2,230858.3,240967.8,242493.0,250783.7,259350.0,267048.6,273774.2,286084.3,297492.6,321316.7,351191.9,361652.1,387601.3,405457.2
 "29000","Missouri",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",122845.4,127441.6,136189.9,140912.5,147590.2,154872.9,163608.4,167661.3,176593.9,184005.5,195270.5,197477.4,202187.6,208237.2,217574.0,216900.2,223920.8,230119.7,237097.9,244067.9,256236.6,266196.6,289759.4,313385.6,315898.5,347612.8,363950.5
 "29000","Missouri",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",116264.1,123565.6,132088.2,137969.6,143667.6,150360.3,157440.0,165567.5,171889.2,179924.6,187125.2,184728.4,191635.6,199085.0,205513.3,209534.9,215540.2,221482.5,227468.9,235234.9,244790.5,250508.0,248151.4,277655.0,302910.8,324412.5,339782.9
 "29000","Missouri",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47118,45179,43946,44799,45817,45192,45700,47620,48744,48930,49929,50660,54269,56869,55467,56912,57850
 "29000","Missouri",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40058,38514,37924,38579,39024,39001,39227,40599,41431,41944,42635,42580,41797,44870,46402,47597,48442
 "29000","Missouri",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25506,26281,27857,28634,29144,30054,31396,32256,33860,35228,37124,36306,36984,38402,39983,40121,41380,42677,43826,44781,46680,48425,52206,56907,58525,62435,64920
 "29000","Missouri",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22247,22913,24288,24979,26008,27126,28465,28956,30225,31253,32963,33128,33719,34639,36101,35887,36948,37867,38911,39922,41810,43331,47079,50781,51121,55994,58274
 "29000","Missouri",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21056,22216,23557,24458,25317,26336,27392,28594,29419,30560,31588,30989,31960,33117,34100,34668,35565,36446,37331,38477,39943,40777,40319,44991,49019,52257,54405
 "29000","Missouri",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.434,90.487,93.105,92.499,92.436,92.807,93.351,92.262,91.676,91.735,91.806,92.520,92.162,92.012,90.991,91.104,90.817
 "29000","Missouri",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),78.856,80.462,84.272,85.842,87.384,88.891,90.664,89.771,90.104,91.735,93.685,95.766,96.463,100.268,105.641,109.790,112.309
 "29000","Missouri",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3385244,3422953,3470846,3451902,3437481,3444525,3478540,3533298,3586439,3636196,3625622,3522642,3475274,3506549,3528185,3565833,3597160,3655817,3700543,3735873,3777370,3778389,3691104,3792314,3879856,3985694,4008112
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
