GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "28000","Mississippi",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",90960.1,93597.7,93957.0,93515.5,94561.5,98762.1,101369.5,103691.8,105879.9,107713.9,109434.0,105360.0,106711.8,106491.1,108646.5,109032.7,109299.6,109401.7,109911.0,110281.4,110174.8,111207.8,111195.0,116078.4,115700.3,119454.2,123419.3
 "28000","Mississippi",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),115457.2,117564.9,116156.6,117314.8,119271.4,119318.9,119880.7,122202.8,122551.4,124678.7,127555.0,129997.5,140627.4,147853.8,136483.6,139851.5,142634.5
 "28000","Mississippi",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95746.6,97487.5,96569.9,97074.5,97758.4,98272.2,99460.4,102493.0,103611.2,105248.7,107477.7,107423.1,108446.4,115726.3,116472.5,118614.6,120277.8
 "28000","Mississippi",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",61332.3,64276.5,66051.5,67750.2,69704.9,74418.4,78680.1,82991.6,87596.7,91876.5,95179.3,92378.0,94788.3,96799.1,100905.4,103042.6,105219.5,106623.9,107795.4,110281.4,113166.4,116135.7,117441.6,130404.6,141724.2,151511.9,158192.4
 "28000","Mississippi",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",56581.1,58494.4,61604.9,65064.1,66326.2,69011.9,73054.9,77635.0,80835.7,86187.0,90602.5,89414.0,92714.4,96643.4,99732.8,101472.1,103442.7,104772.2,106355.5,109132.8,111917.8,116213.5,125624.9,138640.2,138223.7,146160.9,153256.4
 "28000","Mississippi",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",51033.7,52728.7,55659.0,58842.1,60899.8,63740.2,68067.6,71859.7,74075.1,79077.6,82830.2,83298.1,85848.4,89538.2,92226.7,93290.6,95153.1,96008.0,97349.3,100383.5,103471.0,107192.8,116519.0,127991.8,124673.9,134200.1,140770.0
 "28000","Mississippi",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",44223.9,47202.9,50271.5,52641.0,55060.4,57833.1,61397.2,65017.7,69149.4,72680.2,75197.1,74237.4,77186.8,80082.1,81853.3,83679.2,85932.3,88020.8,90111.3,92341.8,94495.0,96211.5,97143.2,108734.5,118099.6,124062.8,129336.8
 "28000","Mississippi",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39167,39734,39105,39395,39992,39951,40125,40939,41065,41790,42881,43785,47533,50167,46392,47517,48465
 "28000","Mississippi",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32481,32949,32511,32598,32779,32904,33290,34336,34718,35278,36131,36181,36655,39266,39590,40302,40868
 "28000","Mississippi",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",20173,20681,21628,22806,23202,24060,25287,26716,27827,29432,30736,30220,31213,32454,33441,33976,34623,35100,35638,36579,37624,39142,42462,47041,46984,49661,52074
 "28000","Mississippi",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",18195,18643,19541,20625,21303,22222,23561,24729,25499,27004,28099,28153,28902,30068,30924,31236,31849,32163,32620,33647,34784,36104,39384,43428,42378,45597,47831
 "28000","Mississippi",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",15767,16689,17649,18451,19261,20163,21252,22374,23804,24819,25510,25091,25986,26892,27446,28018,28762,29488,30194,30951,31767,32405,32835,36894,40143,42153,43947
 "28000","Mississippi",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.077,85.639,88.305,88.892,88.571,88.902,88.960,88.264,88.489,87.737,86.157,86.527,85.583,86.222,87.336,86.792,86.953
 "28000","Mississippi",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),78.538,76.151,79.928,82.496,83.730,85.150,86.399,85.880,86.971,87.737,87.921,89.563,89.577,93.958,101.397,104.593,107.532
 "28000","Mississippi",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1445429,1469707,1476295,1455992,1454782,1452910,1463650,1473724,1508313,1538835,1537448,1492328,1490777,1509966,1519741,1532509,1556854,1568216,1581199,1592198,1602929,1606893,1572680,1624466,1666078,1703374,1710873
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
