GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "30000","Montana",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",31456.1,31633.4,32513.7,32689.6,33663.8,35249.5,36949.9,38849.0,40055.0,42057.7,42049.3,40938.4,42469.8,43532.2,44329.1,45114.7,46166.7,47765.6,47189.6,48470.5,49455.0,50263.5,50062.9,53345.9,55806.9,58604.9,60605.7
 "30000","Montana",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41434.1,40990.8,42689.0,43609.0,45963.4,45905.4,46483.3,48326.3,49191.9,51077.7,53509.4,54847.2,60668.1,65987.8,66620.8,68315.0,67328.1
 "30000","Montana",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37822.7,37384.3,39224.2,39351.8,40254.8,41231.3,41625.2,42560.0,43484.1,44570.7,47026.9,46985.0,47680.2,53661.4,56372.3,56946.2,56838.8
 "30000","Montana",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",20414.4,20815.1,21935.4,22798.0,23886.0,25781.1,28138.8,30823.7,33088.0,36116.1,37028.0,35880.0,38080.3,40592.3,42150.2,43584.0,45203.8,46542.4,45859.4,48470.5,51152.1,52715.6,53057.3,60314.8,69087.8,74690.3,78441.0
 "30000","Montana",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",19125.7,19496.9,20770.5,21685.2,22350.3,24015.2,26072.2,28052.0,30362.7,32646.8,34730.5,33926.6,35670.9,38082.7,40436.9,40786.0,42901.4,44583.3,45283.3,48003.3,50352.0,53402.3,58241.5,65539.6,69666.5,74870.4,78741.6
 "30000","Montana",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",16972.2,17238.1,18325.6,19144.0,20104.2,21811.7,23740.4,25281.7,27200.6,29025.1,31061.4,30970.9,32645.7,34492.0,36490.9,36524.1,38238.4,39654.4,40348.9,42890.2,45194.2,47638.8,51987.6,57488.0,59256.2,65665.9,69095.9
 "30000","Montana",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",17017.7,18108.6,19352.0,20345.0,21486.0,22804.2,24453.1,26254.8,28153.0,30156.1,31729.6,30980.6,32820.8,34413.4,35462.0,36679.6,38466.9,39329.3,40114.9,41986.4,44342.6,45832.4,45898.8,53404.9,59020.5,62459.4,66526.5
 "30000","Montana",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42435,41658,43082,43686,45713,45180,45344,46713,47039,48274,50168,50997,55801,59635,59372,60386,59203
 "30000","Montana",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38736,37993,39585,39421,40036,40580,40605,41139,41581,42124,44090,43687,43855,48496,50238,50337,49980
 "30000","Montana",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",21431,21723,22982,23910,24516,26114,28034,29839,31870,33841,35569,34479,35999,38150,40217,40142,41850,43095,43301,45369,47208,49654,53569,59230,62086,66181,69240
 "30000","Montana",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19018,19207,20277,21108,22052,23718,25527,26892,28551,30087,31812,31475,32946,34553,36292,35947,37301,38330,38583,40536,42372,44295,47817,51954,52809,58044,60758
 "30000","Montana",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19069,20177,21413,22432,23568,24797,26293,27928,29551,31259,32496,31485,33123,34474,35269,36100,37524,38016,38359,39682,41573,42615,42216,48264,52598,55210,58499
 "30000","Montana",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.079,93.196,92.445,94.232,93.187,92.880,95.152,94.974,93.862,94.202,92.401,94.240,91.972,91.328,90.179,91.014,94.645
 "30000","Montana",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),83.890,82.870,83.675,87.451,88.094,88.960,92.412,92.409,92.252,94.202,94.292,97.547,96.264,99.522,104.698,109.682,117.044
 "30000","Montana",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",535785,543115,552690,559924,564636,571208,585505,600567,616917,635629,636195,619453,616391,623221,633197,642072,649048,660573,667793,674409,684043,685589,683414,714901,737303,760516,764760
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
