GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "37000","North Carolina",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",351977.9,372030.3,384115.3,387433.9,393685.9,404582.5,420579.4,442305.6,470663.9,477920.8,492688.8,473610.5,482030.4,484200.3,488126.5,497456.6,509782.4,525229.1,536308.5,546810.1,556573.7,567975.0,564278.8,599293.8,620666.5,643045.8,664131.6
 "37000","North Carolina",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),426909.1,418810.4,408600.1,409383.0,428034.7,416158.2,432800.3,456242.8,466394.0,484681.8,500087.7,528502.8,567894.2,593139.1,580567.5,595725.4,622004.7
 "37000","North Carolina",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),330686.7,331504.1,334023.1,337072.8,343425.5,349390.7,359359.1,373795.7,382840.4,397843.8,409416.3,426483.6,427350.2,459479.8,474277.8,488119.3,505038.2
 "37000","North Carolina",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",246721.8,264924.3,277556.1,287317.1,297653.0,310200.3,329017.7,354798.5,388012.1,402188.3,420707.2,413096.8,422282.2,430040.1,444063.2,460946.4,482295.7,508672.4,528284.3,546810.1,568037.3,592449.6,600226.9,660804.7,729761.9,794838.0,844209.0
 "37000","North Carolina",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",198232.0,207943.0,221516.2,228090.9,231930.9,241805.1,261603.4,280391.8,304872.7,327886.5,351637.5,339441.5,343104.3,355001.6,377867.2,373140.6,393886.1,414760.4,429054.9,449817.7,473093.3,501618.1,541462.5,604630.7,632926.5,677170.4,724994.6
 "37000","North Carolina",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",171963.1,180585.5,191808.8,197956.1,205562.0,216638.7,235502.7,250047.8,270682.5,289740.6,313853.2,309829.8,312109.5,318906.9,341049.4,332773.0,351332.9,366949.2,378998.7,398999.2,421434.9,445838.5,484372.8,536144.7,546369.6,600963.6,644915.1
 "37000","North Carolina",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",155992.9,168402.8,181525.7,188401.9,193989.9,203546.0,217242.9,233498.5,248355.5,263993.0,272605.7,269018.7,280867.9,292708.3,303579.9,313671.6,327466.8,340378.4,352946.4,370093.0,388109.5,405542.5,408579.1,469330.3,517674.1,555286.7,589125.1
 "37000","North Carolina",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45858,44321,42691,42462,44038,42463,43820,45796,46302,47646,48676,50966,54346,56146,54204,54748,56310
 "37000","North Carolina",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35522,35081,34899,34962,35333,35651,36384,37520,38007,39110,39850,41128,40896,43494,44280,44859,45721
 "37000","North Carolina",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25385,26158,27410,27782,27856,28709,30586,32209,34189,35960,37772,35921,35848,36822,38876,38074,39880,41632,42596,44219,46048,48374,51816,57233,59092,62233,65634
 "37000","North Carolina",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22021,22717,23734,24111,24689,25721,27534,28723,30355,31777,33713,32788,32610,33078,35088,33955,35572,36833,37626,39223,41020,42995,46353,50751,51011,55230,58384
 "37000","North Carolina",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19976,21184,22462,22948,23299,24167,25399,26822,27851,28953,29283,28469,29346,30360,31233,32006,33155,34166,35040,36382,37776,39109,39100,44426,48332,51032,53334
 "37000","North Carolina",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.449,91.262,92.899,93.572,93.509,93.732,93.826,93.588,93.801,93.025,92.894,91.866,91.345,93.734,94.013,94.399,94.326
 "37000","North Carolina",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),82.436,81.151,84.086,86.838,88.398,89.777,91.125,91.060,92.192,93.025,94.796,95.090,95.608,102.144,109.150,113.760,116.650
 "37000","North Carolina",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4708195,4802414,4891957,4855476,4842001,4851941,4961645,5093058,5251529,5430916,5413522,5215727,5178397,5292804,5356134,5436745,5568600,5694917,5825267,5919022,6055657,6148775,6054497,6317579,6572997,6762704,6844808
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
