GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "38000","North Dakota",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",23971.3,24069.6,24990.2,25329.8,26592.1,28326.7,28636.2,29629.0,30911.4,32529.0,35030.4,35971.3,38697.4,43300.4,53326.8,54690.9,60193.0,58694.5,54756.0,56530.2,58516.4,59408.5,56602.8,57351.3,57031.1,62114.7,63366.4
 "38000","North Dakota",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35207.3,34250.0,36957.6,40473.5,45524.0,44817.5,47038.6,45681.9,43676.6,44930.4,45846.7,45696.5,49169.5,52028.8,53921.1,53168.7,51992.7
 "38000","North Dakota",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),27988.7,28152.7,28785.5,30842.3,32720.5,34465.7,35903.7,37322.5,36611.1,37253.3,36907.0,36899.7,36562.1,38774.3,40199.0,41614.4,42061.5
 "38000","North Dakota",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",16842.7,17083.7,18115.1,18976.9,20195.6,22129.9,23209.6,24572.0,26406.5,29044.6,32027.7,32310.4,35651.8,41602.1,52079.1,54877.0,61108.3,56952.2,52666.3,56530.2,60377.1,60892.5,56321.4,64830.0,75052.1,77898.1,80058.3
 "38000","North Dakota",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",15078.7,15257.9,16591.1,16930.7,17356.1,18949.5,19330.9,20501.4,21508.5,23828.8,26942.6,26722.1,29758.8,33588.0,39538.6,39538.7,42181.3,40408.2,39232.0,39743.7,42565.9,43997.2,47122.5,51468.4,55463.3,56452.5,57153.4
 "38000","North Dakota",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",13609.3,13756.4,14977.4,15225.0,15878.4,17510.3,17848.0,18801.6,19538.3,21527.7,24232.2,24522.5,27179.4,30154.4,35356.8,34942.8,37298.9,36000.1,35297.9,35877.1,38776.2,39873.6,43198.9,46620.1,49396.0,51195.9,51689.8
 "38000","North Dakota",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",12407.9,12999.5,13768.7,14510.0,15192.0,16036.0,17059.4,18124.6,19268.6,20413.5,21436.2,21992.6,23210.5,25631.3,28456.5,30444.7,32237.4,33069.1,32956.0,33030.2,34336.1,35593.8,35136.2,38434.3,41398.6,44219.1,46272.8
 "38000","North Dakota",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53542,51506,54744,58891,64541,61592,63171,59886,57110,58594,59425,58846,63073,66878,69036,67383,65271
 "38000","North Dakota",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42564,42337,42639,44877,46389,47365,48217,48927,47871,48582,47838,47518,46901,49841,51467,52740,52803
 "38000","North Dakota",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",23286,23683,25842,26493,27197,29663,29984,31731,33120,36501,40973,40186,44081,48873,56056,54337,56647,52972,51298,51830,55173,56657,60447,66158,71011,71545,71749
 "38000","North Dakota",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",21017,21352,23329,23824,24881,27410,27684,29101,30086,32976,36851,36878,40260,43876,50127,48021,50091,47194,46154,46788,50261,51347,55414,59926,63243,64883,64891
 "38000","North Dakota",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19162,20177,21446,22705,23806,25103,26461,28053,29670,31270,32599,33073,34381,37295,40344,41839,43293,43351,43092,43075,44506,45836,45072,49404,53003,56041,58090
 "38000","North Dakota",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.891,87.852,89.083,89.549,91.997,92.225,92.450,91.063,91.588,88.664,91.168,93.191,91.816,90.962,88.703,88.174,88.959
 "38000","North Dakota",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),76.589,78.119,80.633,83.104,86.968,88.333,89.788,88.604,90.017,88.664,93.034,96.461,96.100,99.123,102.984,106.259,110.012
 "38000","North Dakota",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",434930,435651,440643,445433,442530,443692,453079,461638,471131,482494,491887,492409,503803,529778,567381,586758,607113,597638,576701,573077,578397,581324,560316,567429,581410,597884,604751
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
