GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "31000","Nebraska",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",75750.0,77421.1,80268.2,82268.1,83433.2,88310.7,90607.6,94556.0,97322.8,99780.7,99860.1,99986.4,103940.8,109734.2,109686.3,111382.2,115651.9,119640.8,121303.1,123219.9,125543.4,127568.9,126711.2,135166.4,139878.1,147146.5,148102.8
 "31000","Nebraska",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90689.5,88768.7,90363.6,99308.3,98981.8,97944.8,102340.1,106917.8,105101.3,106950.7,106994.1,109431.2,115341.2,125052.3,125633.1,130762.1,130950.5
 "31000","Nebraska",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),71455.7,69731.4,70822.3,73405.5,73753.7,74813.4,76716.6,79194.0,81551.8,83720.4,83020.3,83553.3,81719.9,89642.9,93969.8,95259.8,98111.8
 "31000","Nebraska",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",51849.9,53714.2,56582.7,59634.3,61569.5,66471.7,70445.4,74886.7,79287.5,84291.9,86146.6,87325.5,91940.7,100526.5,102949.7,107247.0,112763.3,117402.3,119389.8,123219.9,127954.4,132848.2,135014.5,150952.5,167840.2,183780.9,189242.7
 "31000","Nebraska",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",44747.0,46824.4,49570.3,51911.8,52804.3,56102.2,58597.2,60598.1,63317.2,68098.6,72377.3,71459.7,75194.1,84096.1,86235.9,86022.2,91084.5,94681.7,93559.7,95823.7,100067.8,104615.9,111734.1,125057.8,130888.6,142166.5,145798.5
 "31000","Nebraska",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",39377.3,41193.4,43504.3,45845.6,47546.1,51111.1,53402.9,54755.6,56706.2,60707.9,64841.2,65480.0,68668.6,76509.2,77995.0,77154.9,81556.5,84839.7,83667.2,85936.9,90267.0,94045.0,100740.0,111820.9,114739.7,128231.6,131426.8
 "31000","Nebraska",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",33885.1,36147.8,38737.2,40332.1,41528.8,43884.8,46911.4,49719.4,52401.4,54871.6,57074.3,56205.1,59014.4,62248.7,64342.3,65789.7,68366.5,70248.1,72752.0,75186.4,77805.0,80025.6,79381.6,89828.4,98018.6,103648.8,109322.5
 "31000","Nebraska",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),50485,48971,49374,53857,53241,52274,54141,56132,54694,55285,54996,55976,58746,63655,63701,65780,65297
 "31000","Nebraska",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39778,38469,38697,39809,39671,39929,40586,41577,42439,43276,42673,42739,41622,45631,47646,47921,48922
 "31000","Nebraska",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26387,27467,28924,30184,30553,32268,33496,34401,35718,38184,40291,39422,41085,45607,46385,45911,48187,49708,48688,49533,51436,53513,56909,63658,66365,71517,72701
 "31000","Nebraska",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23220,24164,25384,26657,27510,29397,30527,31085,31989,34040,36096,36123,37520,41492,41952,41178,43146,44541,43540,44422,46398,48106,51309,56920,58177,64507,65534
 "31000","Nebraska",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19982,21204,22603,23451,24029,25241,26816,28226,29560,30767,31772,31007,32245,33759,34609,35113,36168,36880,37860,38865,39993,40935,40431,45725,49699,52141,54512
 "31000","Nebraska",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.575,90.645,92.061,91.377,92.284,91.812,91.757,91.166,90.767,89.807,91.838,92.531,92.808,91.956,89.844,90.288,90.103
 "31000","Nebraska",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),79.874,80.602,83.327,84.801,87.239,87.938,89.116,88.704,89.210,89.807,93.718,95.778,97.139,100.207,104.309,108.806,111.426
 "31000","Nebraska",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1138369,1156816,1173756,1175112,1165998,1169210,1180188,1192187,1208036,1230968,1237394,1223251,1219855,1232536,1251331,1266360,1282738,1302877,1310927,1317730,1330415,1328396,1305702,1334521,1357391,1396472,1405802
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
