GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "33000","New Hampshire",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",54954.5,56913.1,60742.5,61719.4,63474.2,66119.4,68428.1,69556.1,71424.5,71943.5,71195.6,70498.6,72950.4,73465.0,74082.8,75503.4,76836.2,79319.3,80736.1,81179.6,82269.5,84438.2,83682.9,90296.7,91702.1,93645.8,94926.0
 "33000","New Hampshire",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),63626.7,63589.3,65811.1,67676.2,69282.0,68262.8,70315.8,72056.8,72986.8,74537.2,78095.3,81642.1,84778.4,92038.0,84127.9,87580.2,91069.1
 "33000","New Hampshire",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),54997.1,55318.1,56668.1,57196.8,58095.3,58989.1,59875.0,61012.7,61317.9,63059.2,65320.6,66128.7,64336.1,70449.6,69552.7,72187.4,75364.1
 "33000","New Hampshire",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",40747.7,42292.4,45604.9,47037.3,49109.6,51609.7,54545.7,56914.6,60152.7,61984.8,62095.3,63052.2,65310.8,66557.3,68412.0,70897.4,73455.1,77385.8,79759.7,81179.6,83859.4,87868.2,89041.6,99433.3,106824.6,114427.8,119336.6
 "33000","New Hampshire",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",36597.5,38930.2,43796.1,46179.9,46972.3,47833.0,50733.0,52464.3,56084.9,58305.5,60153.8,59381.5,61880.9,64888.9,67318.1,67121.8,69630.5,72779.6,75229.0,78661.0,82353.7,87724.1,93153.8,102663.3,105210.8,111148.6,117220.3
 "33000","New Hampshire",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",32062.5,33902.4,37811.9,40508.2,42277.0,43474.7,46275.1,47430.3,50473.1,52137.8,53988.2,54740.2,56818.2,58915.4,61385.4,60565.5,62558.6,65022.4,66972.9,70366.5,74159.2,78784.9,83833.6,90747.9,91061.7,98706.1,104113.6
 "33000","New Hampshire",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",29629.6,31953.0,34576.4,36590.7,38488.0,41132.5,43735.2,46409.1,48795.0,51242.1,52038.1,51722.7,53357.3,54918.3,56524.0,58076.5,59367.3,61727.9,63337.2,66704.2,69023.5,71187.4,70886.2,78741.8,87087.8,91685.2,97081.9
 "33000","New Hampshire",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48352,48316,49967,51195,52195,51281,52500,53623,54017,54844,57215,59512,61489,66325,60234,62459,64632
 "33000","New Hampshire",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41794,42032,43025,43267,43767,44314,44705,45404,45381,46399,47856,48204,46662,50768,49799,51482,53486
 "33000","New Hampshire",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",30348,31857,35323,36782,37013,37374,39324,40404,42866,44422,45713,45119,46982,49086,50715,50423,51988,54161,55677,57878,60335,63946,67564,73982,75329,79267,83192
 "33000","New Hampshire",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26587,27743,30496,32264,33313,33969,35869,36527,38576,39723,41027,41593,43139,44567,46246,45498,46708,48388,49566,51775,54331,57429,60804,65396,65199,70394,73890
 "33000","New Hampshire",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24570,26148,27887,29144,30327,32139,33900,35741,37294,39040,39545,39300,40511,41544,42583,43628,44326,45937,46876,49081,50569,51891,51413,56744,62354,65387,68900
 "33000","New Hampshire",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),106.112,105.150,104.026,103.462,102.921,102.790,102.091,103.980,105.096,105.780,103.549,104.001,105.269,102.568,107.847,105.393,104.165
 "33000","New Hampshire",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.620,93.500,94.158,96.016,97.295,98.453,99.152,101.172,103.293,105.780,105.669,107.650,110.181,111.770,125.211,127.010,128.817
 "33000","New Hampshire",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",743341,760763,783545,788168,788485,797649,812824,825602,835584,848007,844885,820826,813758,818810,824378,835032,844521,860652,873123,882481,892584,890078,858532,894652,918549,942052,950273
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
