GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "34000","New Jersey",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",461237.3,477827.9,503901.5,509631.5,517752.2,529815.9,536174.0,546357.8,555211.0,560823.8,573202.7,546362.2,554764.4,548479.3,560729.7,570952.4,570696.4,581414.9,587049.7,590086.7,606892.2,618691.0,598481.3,631158.3,648512.4,662320.1,675897.6
 "34000","New Jersey",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),469074.7,442685.9,456510.9,463601.4,469740.9,469322.6,481627.2,500984.3,509825.8,519282.4,523536.7,544214.9,565204.2,595905.1,570773.8,583327.5,599900.8
 "34000","New Jersey",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),364824.8,347148.5,358203.5,357221.1,360977.2,366013.2,372678.6,381222.2,388035.6,392323.0,393934.6,403216.9,391789.8,434744.4,442657.8,452026.5,465124.5
 "34000","New Jersey",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",318104.0,334966.4,360530.4,372819.2,385045.6,399996.5,415490.8,436064.4,457681.5,474539.6,493289.4,481452.7,491229.0,494292.8,516098.2,534212.1,543824.1,565807.7,578651.4,590086.7,619340.2,643317.7,632562.3,693733.8,756465.6,806894.0,846000.4
 "34000","New Jersey",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",286580.2,299723.8,329591.8,341308.9,345988.7,354097.7,369770.9,382749.3,410264.9,435048.7,449545.4,436271.4,448931.1,469252.9,484600.0,488591.3,509357.6,530303.1,545301.7,566237.1,591910.4,625170.3,653214.2,707402.6,719848.2,765228.3,806558.7
 "34000","New Jersey",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",243362.5,252709.4,276109.9,287114.5,300292.2,310910.2,325233.5,331779.7,354300.9,371189.8,384724.6,387087.3,397235.0,409360.8,425028.0,421449.1,439473.5,454670.3,468296.2,487599.4,512769.8,541341.9,570862.5,611707.1,600618.1,661017.9,697283.3
 "34000","New Jersey",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",206219.0,220351.8,237684.3,250245.6,262635.3,278154.7,294265.6,311008.9,326975.3,340079.3,349924.5,342548.8,352741.4,362084.6,372893.6,381523.2,394640.6,404207.8,415927.6,428802.3,446294.5,464060.7,454040.6,517132.8,558943.5,593447.0,625846.8
 "34000","New Jersey",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53848,50560,51821,52218,52572,52221,53299,55179,55887,56587,56782,58774,60953,64279,61405,62191,63142
 "34000","New Jersey",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41881,39649,40662,40236,40399,40726,41242,41988,42537,42752,42726,43547,42252,46895,47622,48192,48956
 "34000","New Jersey",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",34580,35854,39095,40189,40454,41167,42825,44238,47366,50133,51606,49828,50961,52854,54235,54365,56367,58408,59776,61704,64198,67518,70444,76307,77443,81584,84893
 "34000","New Jersey",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",29365,30230,32751,33807,35111,36146,37666,38347,40904,42774,44165,44210,45092,46108,47568,46895,48634,50078,51335,53134,55615,58464,61563,65984,64616,70474,73392
 "34000","New Jersey",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24883,26359,28193,29466,30708,32338,34080,35947,37750,39189,40170,39123,40042,40783,41733,42452,43672,44520,45594,46727,48405,50118,48965,55782,60132,63270,65873
 "34000","New Jersey",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),107.565,110.969,108.796,109.221,109.274,108.830,109.032,108.973,109.059,109.298,111.019,111.188,110.722,109.157,108.759,108.941,108.805
 "34000","New Jersey",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.916,98.675,98.475,101.361,103.301,104.238,105.893,106.029,107.188,109.298,113.292,115.090,115.889,118.951,126.270,131.286,134.555
 "34000","New Jersey",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4500635,4571128,4748598,4777145,4791997,4825010,4909630,4991163,5057231,5130173,5123837,4992097,4960649,5018547,5053885,5133106,5206898,5303132,5391258,5448785,5550061,5571281,5319882,5585243,5874321,6055271,6069474
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
