GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "32000","Nevada",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",102779.4,110091.0,114810.2,116267.3,120180.1,125905.4,139373.0,150680.9,156297.9,157734.3,152745.6,140304.3,142614.2,144341.2,142986.1,144549.3,145303.6,151055.9,156007.4,163199.1,168638.5,176029.7,165924.8,182618.3,194463.9,201158.6,207351.9
 "32000","Nevada",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),113685.7,105966.9,110600.1,110424.7,113336.8,114039.4,120069.8,130615.4,136257.2,139375.9,151444.8,156090.3,168014.8,185275.0,178334.9,181933.9,184622.3
 "32000","Nevada",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97324.9,91206.5,93674.5,93673.2,95288.8,99253.1,103171.3,108062.8,113561.3,115462.7,124549.9,125375.5,124889.8,140848.7,145640.2,146596.8,148265.3
 "32000","Nevada",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",65332.2,71825.3,77181.5,80968.6,85541.0,91365.0,104132.0,117165.1,126613.4,132045.4,130570.9,122471.2,125149.0,128638.4,130238.2,133592.5,136918.4,145786.8,153318.0,163199.1,172547.9,184611.1,176178.7,202091.8,232437.9,253443.3,269010.5
 "32000","Nevada",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",54217.2,58623.6,64312.6,68026.7,69952.7,74518.4,82524.7,92194.1,99485.1,103706.0,102535.9,96982.8,100750.4,104596.4,108696.1,108914.4,115514.1,125088.6,129879.1,138847.0,148408.1,159393.0,170447.5,192132.9,199226.6,214392.7,228086.6
 "32000","Nevada",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",47358.4,51179.2,56006.1,59680.2,62512.0,67133.9,73873.0,81572.3,88142.6,91979.9,92037.7,88841.7,92389.4,95350.0,98769.9,97539.1,103922.8,112064.5,115291.7,124210.4,132913.4,143464.5,153161.3,169301.5,172142.5,190708.9,203004.9
 "32000","Nevada",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",41874.4,46395.2,50853.1,54020.4,57342.3,61582.4,68079.6,74876.1,81040.6,86098.3,87852.2,83578.8,85449.7,88854.0,91509.3,94912.7,99383.8,103663.4,108477.9,115294.6,122302.4,128266.7,127046.2,146358.0,162897.8,172886.2,183314.8
 "32000","Nevada",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42842,39471,40934,40745,41375,41182,42748,45734,46911,47170,50297,50866,53903,58852,56149,56600,56503
 "32000","Nevada",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36676,33973,34670,34564,34786,35842,36732,37837,39097,39077,41365,40857,40068,44740,45855,45607,45376
 "32000","Nevada",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29256,30301,31858,32418,32180,33136,35173,37907,39437,39870,38640,36125,37289,38595,39680,39331,41126,43799,44715,46991,49289,51942,54684,61031,62726,66698,69805
 "32000","Nevada",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25555,26453,27743,28441,28757,29853,31486,33539,34940,35362,34684,33092,34194,35183,36057,35223,36999,39238,39693,42037,44143,46751,49138,53778,54199,59330,62129
 "32000","Nevada",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22596,23980,25190,25744,26379,27384,29017,30786,32125,33101,33106,31132,31626,32786,33406,34275,35383,36297,37347,39020,40618,41799,40760,46490,51288,53786,56103
 "32000","Nevada",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),101.230,103.054,100.780,102.211,101.586,99.840,99.184,98.592,97.191,99.854,96.226,98.838,97.191,95.356,96.339,97.861,99.979
 "32000","Nevada",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.267,91.637,91.220,94.855,96.034,95.627,96.329,95.929,95.524,99.854,98.196,102.306,101.727,103.912,111.849,117.933,123.640
 "32000","Nevada",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1131237,1189071,1254358,1285310,1299544,1353124,1441158,1533726,1604488,1643873,1619016,1512925,1478082,1501861,1519210,1561287,1608537,1664654,1724751,1780614,1848890,1884199,1770794,1912665,2043934,2123253,2150803
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
