GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "39000","Ohio",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",518604.0,530745.6,541005.9,534612.4,546688.2,557024.5,572308.5,584867.7,582637.6,585403.0,580389.0,550982.4,563816.3,580251.4,586540.9,603057.4,624973.4,633274.8,638157.5,652187.5,656212.0,674063.9,655730.1,691630.0,694473.4,707996.2,721997.3
 "39000","Ohio",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),511980.5,494214.7,501691.2,526616.8,530859.0,530441.4,545829.5,570833.2,576028.8,590182.3,594038.8,604155.5,649815.5,674728.8,646387.8,659652.9,668224.0
 "39000","Ohio",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),423077.3,413183.3,421585.8,431764.3,434170.8,441534.1,450502.2,467058.7,474970.5,487268.1,488170.3,493368.7,487729.0,519787.1,532797.5,538732.6,545928.0
 "39000","Ohio",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",361479.3,375797.2,391032.3,395864.2,411191.1,425530.7,447813.3,470179.5,482904.0,497600.1,500916.4,484407.1,500274.2,525456.4,543035.4,566419.9,597152.3,615275.5,627294.7,652187.5,672540.1,702914.8,692938.3,764161.4,830498.8,883957.1,923140.6
 "39000","Ohio",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",298491.4,307407.0,323812.5,333209.3,338462.5,348428.7,361753.0,371633.8,390090.0,406786.5,422085.7,410350.4,422204.4,449923.8,466162.1,473218.8,492475.6,511339.8,521622.5,541289.4,562523.0,582299.9,623575.0,676718.3,685892.1,730013.2,766045.8
 "39000","Ohio",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",257448.3,265366.2,278933.3,287987.7,297867.6,310060.4,322505.1,329124.8,344213.7,357827.2,373451.4,372169.5,381366.5,402255.0,417110.6,420652.7,438364.6,453852.0,463262.7,482233.5,504008.7,520795.7,561929.2,605752.7,599452.5,653295.7,686069.7
 "39000","Ohio",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",230506.0,244074.9,260381.2,270966.5,280073.8,292806.3,305549.4,319761.2,330574.5,343184.5,349080.4,343501.1,355279.6,369404.2,381767.1,394401.6,406986.6,419081.2,431032.4,447950.5,463218.0,476406.6,469319.4,522375.5,566040.9,596661.5,626340.2
 "39000","Ohio",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44461,42867,43467,45562,45869,45680,46857,48895,49223,50280,50500,51249,55074,57339,54882,55789,56232
 "39000","Ohio",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36740,35839,36526,37356,37515,38024,38673,40006,40588,41512,41500,41851,41337,44172,45237,45563,45941
 "39000","Ohio",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26388,27119,28496,29261,29669,30471,31588,32419,33976,35371,36654,35593,36580,38927,40279,40752,42277,43799,44574,46114,47821,49395,52850,57508,58236,61740,64464
 "39000","Ohio",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22760,23410,24546,25290,26111,27116,28161,28711,29981,31114,32431,32281,33042,34803,36040,36225,37631,38875,39587,41083,42847,44178,47626,51477,50896,55252,57734
 "39000","Ohio",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20378,21532,22914,23795,24551,25607,26680,27894,28793,29841,30314,29795,30782,31960,32987,33965,34938,35897,36833,38163,39379,40412,39777,44392,48060,50462,52708
 "39000","Ohio",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.531,93.493,93.105,92.191,93.014,93.260,93.019,92.218,92.333,91.931,92.985,93.289,91.935,92.223,91.506,91.903,92.774
 "39000","Ohio",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),82.510,83.135,84.272,85.557,87.930,89.325,90.341,89.728,90.749,91.931,94.889,96.562,96.225,100.498,106.239,110.753,114.729
 "39000","Ohio",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",6599132,6681355,6789300,6725753,6640234,6620832,6666590,6709205,6747288,6794947,6725207,6454988,6418141,6521630,6605925,6681685,6771706,6862150,6931328,6987847,7067380,7071408,6853292,7048052,7216118,7368050,7434117
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
