GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "40000","Oklahoma",6,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",114928.1,116968.4,121170.2,125695.7,127930.2,130147.8,134606.6,140360.1,149367.1,152879.6,158987.8,156856.8,158086.4,163859.3,172016.0,176086.8,186574.4,193792.6,190093.5,192538.6,196030.5,200072.2,191377.0,194991.2,194170.9,207072.7,210315.9
 "40000","Oklahoma",6,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),180078.8,169579.0,170656.1,178351.8,185621.3,191650.3,199438.8,194614.5,183517.2,189698.6,198066.5,205859.3,211888.4,222918.8,226431.4,231585.9,240366.7
 "40000","Oklahoma",6,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),127831.3,127650.3,128138.5,130927.4,132263.8,134150.1,137093.3,139484.5,140514.8,143324.1,148672.3,149954.4,147319.6,159210.3,165103.6,168914.6,174621.1
 "40000","Oklahoma",6,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",81778.6,84785.6,91645.7,97505.3,99916.9,106175.1,114237.5,125961.4,138352.3,146582.4,161609.0,147332.4,155267.5,167207.9,175361.2,184104.6,197074.1,187364.7,182238.8,192538.6,204193.9,205992.7,192222.0,219132.4,247541.5,255933.2,263695.1
 "40000","Oklahoma",6,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",74943.6,76956.5,83332.1,88609.5,90711.6,95275.7,102917.3,112487.6,124536.5,128994.3,143654.9,133218.3,139695.1,150302.0,159875.4,167796.9,177635.7,172726.3,164709.0,171995.4,180824.0,189996.8,198234.3,217902.1,233182.3,247300.5,260910.2
 "40000","Oklahoma",6,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",65999.2,67680.0,73314.1,78012.9,81642.4,86612.6,93856.1,101725.7,111958.3,115348.4,129035.7,122613.0,128617.5,136557.4,145407.0,152150.6,161105.4,156076.6,149062.1,155923.7,164969.7,173402.1,182535.0,199390.9,209647.6,226241.7,238688.5
 "40000","Oklahoma",6,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",59559.4,63186.5,67413.9,70504.1,72558.4,76432.6,80535.4,86541.3,92246.7,97558.5,102059.5,100406.0,105035.7,110491.4,114070.9,117602.1,122262.2,124004.0,126384.5,130253.9,136007.7,138657.4,138204.9,155942.5,170231.0,180517.6,189695.0
 "40000","Oklahoma",6,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49081,45616,45393,47102,48653,49806,51516,49890,46855,48389,50420,52199,53434,55838,56239,56986,58692
 "40000","Oklahoma",6,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34841,34337,34083,34577,34668,34863,35412,35757,35876,36559,37846,38024,37151,39880,41007,41565,42638
 "40000","Oklahoma",6,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22009,22390,24124,25557,25999,27184,29194,31699,34650,35493,39154,35835,37157,39694,41905,43607,45884,44279,42053,43873,46030,48177,49991,54581,57916,60853,63708
 "40000","Oklahoma",6,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19382,19691,21224,22501,23399,24712,26624,28666,31151,31738,35169,32982,34211,36064,38113,39541,41614,40010,38058,39773,41994,43969,46032,49945,52070,55671,58282
 "40000","Oklahoma",6,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",17491,18383,19516,20335,20796,21807,22845,24387,25666,26843,27817,27008,27938,29180,29899,30562,31581,31789,32268,33225,34622,35159,34853,39061,42280,44420,46319
 "40000","Oklahoma",6,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.536,88.457,90.562,90.935,91.232,91.527,91.825,91.369,91.514,90.881,89.646,89.332,89.630,89.883,88.807,88.680,87.843
 "40000","Oklahoma",6,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),79.839,78.657,81.970,84.391,86.245,87.665,89.182,88.902,89.944,90.881,91.482,92.466,93.813,97.947,103.106,106.869,108.632
 "40000","Oklahoma",6,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1938705,1953349,1994373,2009183,1987636,1971410,1998176,2043188,2096099,2150026,2186721,2136754,2130312,2159073,2211969,2249096,2273648,2287838,2287131,2291944,2312261,2309379,2265447,2311367,2380642,2450387,2474908
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
