GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "41000","Oregon",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",130425.1,133761.7,145094.2,144486.5,147432.8,154445.3,163046.1,168734.4,177222.4,180724.3,184842.6,176951.6,180738.2,185959.4,187352.4,189609.7,195808.2,205581.8,214769.3,225534.5,234308.3,239794.8,236651.4,250919.9,254237.5,258023.4,263347.7
 "41000","Oregon",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),159403.1,150915.0,153467.4,157167.5,159842.1,161594.8,170721.8,180687.2,190536.0,194853.2,197075.1,205147.9,223124.1,237609.9,218742.6,227380.3,236908.1
 "41000","Oregon",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),137841.0,132236.7,135250.1,136550.9,135637.0,139256.8,145055.9,150518.7,158304.8,162225.5,162999.3,168075.1,165955.4,180702.8,179975.4,187084.0,194361.5
 "41000","Oregon",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",105016.4,107513.2,117057.2,117002.4,120556.1,126822.1,136495.9,143556.3,153779.6,159676.2,164122.9,159330.4,163150.5,169693.8,173856.8,178975.4,187837.6,200592.6,211782.4,225534.5,238466.9,248781.8,250660.6,276367.7,297084.3,314895.0,330250.1
 "41000","Oregon",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",86877.8,89931.4,96913.7,99785.7,101042.1,104729.6,110580.7,116073.4,126600.1,132605.6,138899.9,134391.8,137926.3,145345.1,152601.5,154851.2,165171.9,177478.1,186105.0,197262.3,210044.9,220029.4,240450.4,266544.6,270427.9,286979.9,302582.3
 "41000","Oregon",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",74781.4,76905.8,82521.9,86108.6,88982.4,92952.6,98182.0,101500.0,110396.1,116305.4,121676.0,121052.1,123769.5,128751.5,135425.0,135385.1,144305.1,153843.6,160837.6,171112.2,183113.0,191186.0,211455.9,232169.1,228871.2,251235.6,266946.7
 "41000","Oregon",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",70845.4,75719.2,80982.4,83983.4,87318.4,91577.9,98004.1,104708.7,111706.8,117601.9,120210.4,117906.7,121721.3,126457.0,129665.9,133614.5,140520.0,148092.8,154955.2,164616.9,174082.3,180603.2,179333.6,203118.2,222768.7,236306.0,248436.8
 "41000","Oregon",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42296,39625,39990,40584,40984,41181,43053,44964,46550,46985,47109,48660,52577,55852,51501,53455,55451
 "41000","Oregon",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36575,34721,35243,35260,34778,35488,36581,37457,38675,39117,38963,39866,39106,42476,42373,43982,45493
 "41000","Oregon",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25915,26498,28257,28774,28759,29523,30980,32125,34488,35624,36856,35286,35941,37531,39128,39462,41654,44166,45467,47566,50209,52190,56659,62653,63669,67467,70823
 "41000","Oregon",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22307,22660,24061,24830,25326,26203,27506,28091,30073,31245,32286,31784,32252,33246,34724,34501,36391,38284,39294,41260,43771,45348,49827,54573,53885,59063,62482
 "41000","Oregon",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21132,22310,23612,24217,24853,25816,27456,28979,30430,31593,31897,30958,31718,32654,33247,34050,35437,36853,37857,39694,41613,42838,42258,47744,52449,55554,58150
 "41000","Oregon",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.802,100.273,99.430,99.789,101.125,100.175,99.745,101.119,99.593,101.474,104.657,103.811,103.243,103.150,106.612,104.812,103.361
 "41000","Oregon",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.209,89.163,89.997,92.608,95.598,95.948,96.873,98.388,97.884,101.474,106.799,107.454,108.061,112.405,123.777,126.310,127.822
 "41000","Oregon",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2021755,2051144,2092153,2079058,2062116,2076549,2132996,2196901,2256440,2307311,2288774,2189199,2174333,2201553,2219981,2260337,2323439,2391179,2450390,2515986,2570069,2579015,2493913,2558974,2618298,2683848,2707024
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
