GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "42000","Pennsylvania",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",534933.6,552163.6,566250.9,577677.5,583507.4,598809.5,614957.1,626290.1,626589.9,649638.1,665148.3,645206.7,666805.8,676468.3,689007.0,704195.0,718691.6,734145.1,744847.1,754318.0,763855.4,771852.5,738176.1,766140.0,776824.7,789918.5,803232.5
 "42000","Pennsylvania",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),592012.3,579841.1,598599.9,617736.5,632146.5,630112.0,648460.2,666917.9,681377.1,679378.3,707361.4,720483.0,768051.9,796775.0,757072.6,755376.8,766681.3
 "42000","Pennsylvania",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),496236.4,491732.9,506281.8,514973.3,518935.6,525037.9,534809.4,542809.8,551236.2,553225.9,574632.4,583344.2,561965.7,609337.6,628941.8,628508.1,642319.4
 "42000","Pennsylvania",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",373515.0,391136.1,409330.2,428463.7,440887.5,460478.3,486384.5,510763.9,528771.2,563238.6,586886.6,581219.9,604629.6,623767.9,646434.3,670767.4,695546.6,716534.3,733165.9,754318.0,780620.7,802233.1,778297.2,844875.5,916861.7,966444.0,1007873.9
 "42000","Pennsylvania",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",334421.8,348489.2,372690.7,388186.3,395633.3,409185.8,432634.7,450359.7,472940.6,502658.8,522993.8,512318.2,535335.5,563528.9,584880.3,589720.2,611421.7,635818.0,653328.9,671702.8,707043.4,729329.5,783389.5,833103.4,845037.9,885950.0,924379.6
 "42000","Pennsylvania",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",289405.2,301295.1,322048.2,336978.3,350987.6,366412.5,388722.8,400473.7,417928.7,441292.3,460473.2,462512.3,482145.1,502382.7,522830.1,521961.8,540060.9,558612.5,575436.1,592682.8,628240.0,646245.5,700054.7,735416.3,727528.8,781456.8,814694.4
 "42000","Pennsylvania",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",267974.6,284766.6,304664.5,318001.4,329972.2,349799.2,369088.3,388455.6,406055.2,423686.0,438745.7,435016.9,453398.2,470444.5,480776.1,492004.0,504907.8,518363.6,529679.4,548260.1,575550.5,591606.7,574762.4,638410.2,702865.3,737727.4,775048.3
 "42000","Pennsylvania",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46939,45776,47072,48362,49325,49047,50343,51702,52744,52479,54492,55458,59098,61217,58304,58027,58620
 "42000","Pennsylvania",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39345,38820,39813,40317,40491,40868,41520,42081,42670,42734,44267,44902,43241,46816,48436,48281,49112
 "42000","Pennsylvania",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27309,28416,30339,31563,32084,33066,34860,36173,37803,40008,41467,40446,42097,44119,45637,45902,47467,49291,50572,51886,54468,56139,60279,64008,65078,68057,70678
 "42000","Pennsylvania",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23633,24568,26217,27399,28464,29610,31322,32167,33405,35124,36510,36514,37915,39331,40795,40628,41927,43306,44543,45782,48397,49744,53866,56503,56028,60030,62291
 "42000","Pennsylvania",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21883,23220,24801,25856,26760,28267,29739,31201,32456,33722,34787,34343,35654,36831,37514,38296,39198,40186,41001,42351,44338,45538,44226,49050,54129,56671,59260
 "42000","Pennsylvania",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),99.153,99.488,98.940,98.437,98.003,97.836,97.207,98.147,97.767,99.102,98.151,97.979,97.717,96.145,96.256,97.400,97.572
 "42000","Pennsylvania",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.415,88.466,89.555,91.353,92.647,93.708,94.409,95.496,96.089,99.102,100.160,101.416,102.277,104.771,111.754,117.378,120.664
 "42000","Pennsylvania",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",6657699,6764360,6905286,6915464,6887062,6875775,6951757,7053584,7152610,7265012,7278574,7101513,7119718,7217043,7284595,7350212,7434632,7510339,7593722,7662469,7763488,7772024,7412858,7648662,7903549,8080499,8146346
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
