GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "44000","Rhode Island",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",45381.3,46831.2,49113.6,49705.2,51284.3,52933.1,55160.5,55885.9,57415.8,56230.5,54977.1,54481.5,56050.6,56026.6,56487.4,57037.2,57602.7,58387.9,58630.0,58771.6,58740.1,60157.6,58132.3,60660.0,61517.3,62119.3,63459.1
 "44000","Rhode Island",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47416.7,46330.4,48875.2,49822.6,51121.6,49655.5,51460.6,52249.2,52707.7,53546.1,54778.0,57037.2,61185.9,62308.5,58518.3,60843.0,62154.0
 "44000","Rhode Island",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39323.2,38896.1,39716.4,40129.0,40325.2,40446.6,41964.3,42370.1,43167.6,43484.0,44665.8,45159.0,44512.6,48186.9,47496.5,49605.9,51041.2
 "44000","Rhode Island",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",30835.3,32340.0,34608.5,35940.1,37891.2,39787.1,42578.2,44413.3,47165.3,47490.1,47138.9,47647.2,49409.1,50123.7,51527.5,52994.2,54612.5,56604.0,57714.6,58771.6,60064.9,62814.7,61980.9,67060.0,71978.2,76313.5,80381.1
 "44000","Rhode Island",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",28349.7,29581.1,31875.3,33611.8,34965.7,36700.2,38541.5,39241.3,41162.0,42935.2,43768.6,42764.9,44973.9,46685.4,48186.5,48187.0,50045.1,51775.2,52514.5,54704.3,56918.9,60337.0,64996.8,69245.5,70880.1,74777.8,78553.7
 "44000","Rhode Island",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",24664.8,25716.9,27508.9,29068.5,30977.1,32823.5,34517.0,34893.2,36437.3,37835.1,38729.9,38833.9,40774.9,41727.4,43278.1,42748.9,44303.0,45712.1,46269.3,48355.1,50625.9,53541.5,58057.8,61114.9,60841.6,66032.3,69398.8
 "44000","Rhode Island",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",21942.1,23381.7,25334.1,26628.0,28057.2,29977.2,31565.7,33218.0,34571.9,35785.7,36327.7,35947.9,36596.5,37655.0,38060.7,39300.2,40862.3,42056.1,43101.6,44528.9,46506.6,47860.6,47415.0,53660.2,57599.3,61014.8,64559.6
 "44000","Rhode Island",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44945,43972,46328,47058,48058,46478,47949,48489,48694,49346,50171,52109,55800,56786,53223,55140,55878
 "44000","Rhode Island",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37273,36916,37647,37902,37908,37859,39100,39321,39880,40074,40909,41257,40594,43916,43198,44956,45888
 "44000","Rhode Island",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27493,28432,30350,31795,32801,34256,35867,36746,38719,40608,41487,40588,42630,44095,45298,45104,46630,48049,48515,50414,52132,55123,59275,63108,64466,67769,70622
 "44000","Rhode Island",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23920,24718,26192,27497,29059,30638,32121,32674,34275,35784,36711,36857,38650,39412,40684,40014,41280,42422,42746,44563,46368,48915,52947,55698,55336,59843,62392
 "44000","Rhode Island",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21279,22474,24122,25189,26320,27981,29375,31105,32520,33846,34434,34118,34689,35566,35780,36786,38074,39029,39819,41036,42595,43725,43241,48904,52387,55296,58041
 "44000","Rhode Island",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.603,103.935,101.802,101.111,99.842,101.446,100.260,102.014,101.590,102.403,102.033,102.390,101.771,102.190,104.453,102.065,102.280
 "44000","Rhode Island",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.382,92.420,92.145,93.835,94.384,97.166,97.374,99.259,99.847,102.403,104.121,105.982,106.520,111.358,121.271,122.999,126.485
 "44000","Rhode Island",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",554761,566528,582589,585235,588125,594099,602389,605726,611113,617961,608884,588270,586329,591668,592954,602374,613103,626983,633419,638851,648727,650999,615729,640196,665718,682890,688383
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
