GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "45000","South Carolina",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",150732.6,157645.5,161880.2,162837.1,167333.0,174270.8,177169.4,183267.5,187386.1,193386.6,192497.1,184081.3,188777.2,193221.0,195406.1,200147.3,206077.9,213212.4,220559.3,224937.6,231663.3,239021.3,233294.4,245812.0,256608.5,266037.8,278032.8
 "45000","South Carolina",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),183034.2,181593.1,181171.7,185734.0,190850.8,190707.2,199973.2,211868.6,217818.8,227144.2,234131.5,247867.8,263830.8,272409.8,266549.2,276503.0,287438.5
 "45000","South Carolina",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),161964.3,162159.7,163965.1,165671.1,165674.6,169534.0,174918.7,181316.5,186479.5,192527.6,198307.5,205803.6,206328.4,219454.3,228375.0,235533.7,243011.5
 "45000","South Carolina",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",103688.6,110312.9,115332.7,119355.2,124765.2,131509.1,136679.9,145195.8,153453.4,162476.3,164471.2,162380.4,166767.4,172844.7,178503.9,186268.3,195744.4,207510.0,217555.5,224937.6,236561.7,249575.7,248952.7,272464.9,305070.0,332946.8,357074.4
 "45000","South Carolina",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",89751.9,94148.5,100705.3,104242.1,107305.3,111196.7,117451.8,124417.0,134174.2,143055.1,149954.4,146753.7,151745.9,160391.1,168271.2,170204.8,180837.7,192054.7,200027.4,210387.6,219942.1,234295.4,250250.5,277322.6,288512.6,311235.5,332982.7
 "45000","South Carolina",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",79000.7,82797.4,88902.1,92231.7,96795.1,101099.6,106931.2,112181.6,120366.3,128012.7,135314.9,135219.7,139620.1,146192.4,153536.0,153736.0,163645.6,172635.5,179244.4,189000.0,198319.8,210114.9,225809.0,247989.2,250875.6,278253.4,298552.5
 "45000","South Carolina",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",74708.7,80120.3,85734.9,89205.2,92798.8,97641.0,104869.7,112568.8,119796.4,127725.5,132802.1,131213.5,137523.2,143267.1,146268.9,151499.5,158383.2,164635.0,171615.5,178743.4,186670.7,194896.8,196245.5,223864.5,247490.8,265327.3,281738.2
 "45000","South Carolina",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40414,39564,39099,39842,40612,40250,41750,43683,44377,45761,46643,48823,51406,52444,50407,51320,52463
 "45000","South Carolina",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35762,35330,35386,35538,35255,35781,36520,37384,37992,38787,39507,40537,40202,42249,43188,43716,44355
 "45000","South Carolina",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22900,23687,25025,25644,26122,26792,27892,29136,30789,32190,33110,31973,32749,34406,35807,35923,37755,39598,40752,42385,43817,46150,48760,53390,54561,57766,60776
 "45000","South Carolina",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",20157,20831,22092,22689,23564,24360,25394,26271,27621,28805,29877,29460,30132,31360,32672,32447,34166,35594,36518,38076,39509,41387,43998,47743,47443,51645,54492
 "45000","South Carolina",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19062,20158,21305,21945,22591,23526,24904,26362,27490,28740,29323,28588,29679,30733,31125,31975,33067,33944,34964,36010,37188,38389,38238,43098,46803,49246,51423
 "45000","South Carolina",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),91.953,90.998,92.664,93.183,93.392,93.299,93.231,93.320,93.636,92.840,92.244,91.490,90.873,93.610,93.342,93.477,93.749
 "45000","South Carolina",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),81.995,80.916,83.873,86.477,88.287,89.362,90.547,90.800,92.029,92.840,94.132,94.700,95.113,102.010,108.370,112.649,115.936
 "45000","South Carolina",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2191440,2240690,2279819,2256571,2248075,2263806,2305699,2356325,2418647,2482361,2472467,2367944,2357679,2427453,2453323,2500985,2564027,2636275,2700187,2759183,2843694,2882128,2824833,2937464,3056434,3163255,3205971
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
