GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "46000","South Dakota",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",28772.1,30038.3,32124.9,32396.9,35776.0,36141.9,37616.6,39330.6,39961.6,41646.2,43278.5,44255.8,44810.7,47630.3,48653.9,48610.1,49640.9,50860.8,51264.3,51615.1,51937.8,52510.2,53349.2,56015.4,55257.2,57253.0,57718.0
 "46000","South Dakota",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43139.2,41641.9,41961.0,45321.3,43934.8,43864.5,45697.2,48261.9,48541.2,49402.7,48603.2,50613.8,55506.5,61455.3,62288.0,64153.8,63943.9
 "46000","South Dakota",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32060.6,31964.7,32296.3,33286.7,33087.4,33663.5,34658.0,36413.7,37683.4,38683.9,37963.9,38417.4,38441.5,42175.3,44336.7,44802.1,45663.4
 "46000","South Dakota",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",20257.8,21181.8,22866.7,23626.9,26343.5,27305.0,29380.9,31104.3,32559.3,35282.6,36939.3,36732.1,38208.2,42082.7,44127.3,45498.6,47159.9,48678.9,49842.6,51615.1,53349.5,55175.8,56847.3,63337.7,69425.6,74458.8,76795.8
 "46000","South Dakota",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",18102.9,18948.9,20201.2,20892.2,20898.5,22822.7,24553.2,26005.4,27393.1,30342.5,32676.8,31827.1,33682.9,36655.0,37469.6,37840.2,39607.1,41160.1,41551.5,42989.3,45144.0,48013.9,52908.8,60221.0,63454.7,68097.0,69996.3
 "46000","South Dakota",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",16420.2,17094.1,18266.5,18899.3,19180.8,21246.3,22859.7,24042.1,25093.1,27765.3,29962.8,29768.6,31445.9,33901.4,34448.0,34575.1,36056.8,37402.5,37742.2,39331.7,41600.0,44304.0,48793.1,55148.8,57164.8,62566.0,64162.0
 "46000","South Dakota",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",13601.5,14515.8,15478.3,16210.3,16925.7,17949.6,19257.4,20635.7,22059.2,23113.0,24305.1,24461.5,25960.6,26959.6,28256.2,29077.0,30077.6,31107.4,32326.4,33741.1,35334.2,36511.8,36743.1,41411.9,45221.5,47593.1,50024.9
 "46000","South Dakota",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53983,51597,51419,55061,52760,52150,53918,56644,56407,56779,55531,57354,62511,68551,68469,69861,69153
 "46000","South Dakota",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40120,39606,39576,40440,39734,40022,40893,42738,43790,44459,43375,43533,43292,47045,48736,48788,49384
 "46000","South Dakota",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",24265,25251,26727,27563,27497,29883,31871,33534,34983,38330,40891,39435,41275,44532,44996,44988,46732,48308,48284,49408,51579,54408,59586,67174,69752,74155,75699
 "46000","South Dakota",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22009,22780,24167,24934,25237,27819,29673,31002,32046,35074,37495,36885,38533,41187,41368,41106,42543,43898,43858,45204,47529,50204,54950,61516,62838,68132,69389
 "46000","South Dakota",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18231,19344,20478,21386,22270,23503,24997,26610,28171,29197,30415,30309,31812,32753,33932,34569,35488,36510,37565,38779,40371,41374,41380,46193,49709,51827,54100
 "46000","South Dakota",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.018,86.061,88.807,87.272,90.336,90.181,89.357,87.799,87.282,87.223,91.206,91.818,91.320,90.105,87.851,88.149,88.586
 "46000","South Dakota",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),75.810,76.527,80.382,80.992,85.399,86.375,86.784,85.428,85.784,87.223,93.073,95.040,95.582,98.190,101.996,106.230,109.551
 "46000","South Dakota",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",490715,501684,512377,511664,509549,509653,518411,527756,538721,551970,561052,556495,558161,566491,574997,581234,589348,592644,597263,601254,610179,610159,606045,624996,641124,657822,662833
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
