GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "47000","Tennessee",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",240963.4,248457.5,251030.2,250311.4,258542.4,267589.4,281564.2,289064.3,295668.2,294819.8,298526.9,287308.8,292687.0,301508.9,311754.2,318347.9,323879.6,335461.1,343544.9,355417.5,362363.7,370197.4,368057.0,401673.7,415451.6,428276.1,440200.2
 "47000","Tennessee",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),267290.0,270125.4,272658.2,280458.6,286446.8,286053.2,293179.3,307645.7,311436.7,322454.5,346314.2,355930.1,381192.6,408115.2,392124.2,409179.7,423415.7
 "47000","Tennessee",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),222053.1,222321.5,223065.9,226098.1,227177.1,229868.2,236419.1,243317.2,248223.7,257946.1,273572.0,276388.5,276544.9,302733.6,309229.8,317549.0,327676.6
 "47000","Tennessee",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",167783.0,176467.2,182209.7,185917.2,195386.1,204665.9,219862.4,231339.0,243104.4,248261.6,255546.7,252940.7,258657.6,270055.0,285897.5,296756.3,307448.5,326382.5,339350.2,355417.5,369713.2,385833.0,391588.6,443419.7,490587.0,531246.8,561201.2
 "47000","Tennessee",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",139760.3,145231.9,153990.1,158125.3,162879.4,169929.5,179892.9,188177.6,200188.9,209746.8,218372.5,217094.7,227613.0,241431.7,252592.3,254464.6,263856.0,277356.1,286532.3,299307.7,316176.5,335601.7,360094.7,402024.7,417424.4,453765.7,480671.2
 "47000","Tennessee",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",125503.4,130429.3,138596.1,142199.1,149226.9,156883.6,166576.5,173077.8,182645.9,190829.2,200053.4,203315.5,212656.9,223730.9,234138.8,234048.4,241982.8,253158.6,260756.7,273678.9,290812.0,308684.9,332012.7,366558.0,373354.6,415133.5,439966.1
 "47000","Tennessee",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",110838.2,118130.0,126062.1,129837.3,134468.3,140450.8,149040.8,158759.9,168002.1,177300.9,181564.3,178900.4,186470.4,194909.6,200595.3,204743.2,213045.3,219728.3,228864.4,239992.1,250276.2,261088.3,261956.5,298819.6,329578.2,352425.8,372279.3
 "47000","Tennessee",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42784,42836,42895,43790,44317,43952,44696,46517,46670,47841,50876,51865,55023,58589,55524,57242,58582
 "47000","Tennessee",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35543,35255,35093,35302,35147,35319,36043,36790,37198,38271,40190,40275,39918,43460,43787,44423,45336
 "47000","Tennessee",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25091,25756,26998,27496,28102,29059,30435,31410,32878,33963,34954,34427,35809,37696,39079,39099,40225,41937,42938,44407,46449,48903,51977,57715,59107,63479,66504
 "47000","Tennessee",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22532,23131,24299,24727,25747,26828,28182,28889,29997,30900,32022,32241,33456,34933,36224,35962,36891,38278,39076,40605,42723,44981,47924,52623,52866,58074,60872
 "47000","Tennessee",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19899,20950,22102,22577,23201,24018,25215,26499,27592,28709,29062,28370,29336,30432,31035,31459,32479,33223,34297,35607,36768,38045,37812,42898,46668,49302,51507
 "47000","Tennessee",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),91.697,90.495,92.356,92.890,93.405,92.994,92.785,92.812,93.810,93.040,89.649,91.262,90.502,90.580,91.800,92.094,91.870
 "47000","Tennessee",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),81.766,80.469,83.594,86.206,88.299,89.070,90.113,90.305,92.201,93.040,91.485,94.464,94.725,98.707,106.580,110.983,113.612
 "47000","Tennessee",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3339584,3397301,3459310,3421028,3408736,3433444,3507915,3572054,3643561,3702458,3677116,3523871,3515815,3589026,3635172,3689682,3772755,3859498,3951859,4033011,4120203,4168023,4119603,4298445,4488030,4625521,4666592
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
