GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",12924876.0,13543774.0,14096033.0,14230726.0,14472712.0,14877312.0,15449757.0,15987957.0,16433148.0,16762445.0,16781485.0,16349110.0,16789750.0,17052410.0,17442759.0,17812167.0,18261714.0,18799622.0,19141672.0,19612102.0,20193896.0,20715671.0,20284500.0,21532407.0,22075931.0,22723719.0,23358435.0
 "00000","United States", ,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),13932319.4,13560629.2,13862567.5,14331132.5,14709774.5,14682820.3,15216230.2,15896447.7,16162029.4,16658962.0,17163074.0,17727562.0,18738626.4,19715224.4,19073844.4,19564400.0,20132944.0
 "00000","United States", ,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),11270735.8,11123596.9,11335603.3,11528483.8,11686117.9,11889925.2,12226445.7,12638789.0,12949012.2,13290625.5,13654925.4,13948133.0,13596859.7,14792434.4,15236820.9,15627774.0,16088499.7
 "00000","United States", ,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",9062817.0,9631172.0,10250952.0,10581929.0,10929108.0,11456450.0,12217196.0,13039197.0,13815583.0,14474228.0,14769862.0,14478067.0,15048971.0,15599732.0,16253970.0,16880683.0,17608138.0,18295019.0,18804913.0,19612102.0,20656516.0,21539982.0,21375281.0,23725645.0,26054614.0,27811517.0,29298013.0
 "00000","United States", ,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",7584003.0,7978449.0,8620234.0,8990104.0,9146700.0,9474684.0,10008929.0,10540800.0,11291446.0,11925044.0,12423410.0,12058253.0,12547501.0,13299818.0,13905749.0,14063283.0,14778160.0,15467113.0,15884741.0,16658962.0,17514402.0,18349584.0,19613059.0,21484168.0,22144814.0,23577208.0,24897613.0
 "00000","United States", ,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",6552573.0,6867565.0,7384984.0,7752177.0,8095517.0,8472238.0,8961305.0,9329615.0,9935978.0,10434213.0,10917599.0,10907346.0,11311497.0,11848163.0,12398279.0,12387353.0,12994137.0,13527926.0,13927450.0,14611591.0,15442207.0,16153039.0,17366916.0,18788417.0,18904548.0,20744093.0,21912002.0
 "00000","United States", ,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",5877248.2,6283757.5,6767179.3,7073801.0,7348940.8,7740749.4,8231960.2,8769066.1,9277235.6,9746593.5,10050083.4,9891218.5,10260256.2,10698857.0,11047363.2,11388233.3,11874450.4,12297437.8,12726848.8,13290625.5,13934441.7,14437543.0,14231353.2,16119681.9,17690013.4,18833149.9,19896009.2
 "00000","United States", ,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45816,44204,44808,45957,46796,46358,47661,49396,49828,51006,52242,53683,56514,59365,57104,58088,59195
 "00000","United States", ,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37063,36260,36640,36969,37177,37540,38296,39273,39923,40693,41564,42238,41007,44542,45617,46400,47304
 "00000","United States", ,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27493,28592,30551,31548,31801,32659,34183,35669,37843,39588,40854,39307,40557,42650,44238,44402,46289,48062,48974,51006,53311,55567,59151,64692,66298,70002,73204
 "00000","United States", ,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23754,24611,26173,27204,28146,29204,30605,31571,33300,34639,35902,35555,36562,37994,39442,39111,40701,42036,42939,44737,47004,48915,52377,56575,56598,61591,64426
 "00000","United States", ,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21306,22519,23983,24823,25550,26682,28114,29674,31092,32356,33049,32243,33164,34309,35145,35956,37194,38213,39238,40693,42415,43720,42920,48539,52961,55917,58499
 "00000","United States", ,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "00000","United States", ,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.170,88.921,90.514,92.804,94.534,95.781,97.121,97.299,98.284,100.000,102.047,103.509,104.666,108.972,116.100,120.511,123.666
 "00000","United States", ,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",158481200,161531300,165370800,165522200,165095100,165921500,168839700,172338400,175868600,179543700,179213900,173636700,172901700,176091700,178979700,182328100,186239800,190325800,193425900,196394100,200292200,201622200,195278600,202705100,210466200,216347200,218181200
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
