GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "51000","Virginia",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",338931.5,356391.8,372914.1,386444.7,390242.4,404522.2,421744.4,442089.5,451263.1,457568.9,462034.7,460075.3,475699.3,479571.4,483041.4,488741.3,488918.6,498943.6,505107.7,515167.2,527767.5,541028.0,535224.4,565790.7,579301.8,599261.0,613708.7
 "51000","Virginia",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),386625.0,384181.3,388969.8,402342.2,415525.0,402485.9,413276.7,430487.4,441172.2,457862.8,462063.3,485404.8,503452.8,523198.8,510556.9,528937.9,545536.5
 "51000","Virginia",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),302499.5,302992.9,306303.2,310516.9,316585.8,316383.1,321867.7,327933.6,335767.6,345174.2,350310.6,362860.1,351371.3,374755.6,384616.8,398507.9,410314.0
 "51000","Virginia",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",232569.9,250171.3,268608.7,285663.4,294929.1,311093.1,331815.8,357427.0,376429.4,391595.5,402157.8,409935.3,425490.8,433683.7,445008.5,456911.6,465601.7,485540.9,499032.4,515167.2,537158.3,561701.8,566101.5,616187.9,665624.7,722767.4,761733.8
 "51000","Virginia",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",199883.6,214025.7,231869.8,244314.3,251357.7,266325.2,284687.3,303288.9,323553.8,341200.3,355506.4,349465.4,364677.9,385635.1,402072.1,398579.8,414710.1,433088.2,444691.4,462372.2,479766.6,501770.8,530771.6,582077.9,604039.5,645405.9,681552.2
 "51000","Virginia",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",171344.9,181994.8,197255.6,208358.4,220058.7,235447.9,252323.5,265957.4,282404.7,297091.9,309947.3,312814.4,325496.5,340027.0,356231.8,348961.5,362726.7,376673.5,386860.4,402867.4,419465.7,436508.3,465233.2,506349.3,510816.7,563904.3,595770.1
 "51000","Virginia",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",150505.0,162716.4,176024.5,184913.4,194876.7,207100.9,223429.3,240687.1,255282.2,268547.9,278381.6,275960.2,287569.7,298041.6,306745.6,313709.5,323397.4,330467.2,339172.4,349392.3,364477.2,375793.0,371455.2,417773.7,455588.1,486636.5,513019.4
 "51000","Virginia",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49355,48471,48469,49623,50690,48667,49588,51307,52239,53847,54059,56459,58286,60423,58797,60556,61914
 "51000","Virginia",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38616,38228,38168,38298,38620,38256,38620,39084,39758,40594,40985,42205,40679,43280,44293,45624,46567
 "51000","Virginia",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",28965,30574,32631,33940,34495,36151,38082,40027,42164,44020,45383,44091,45442,47563,49049,48195,49760,51617,52656,54377,56130,58362,61449,67223,69562,73890,77351
 "51000","Virginia",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",24829,25999,27760,28945,30199,31960,33753,35100,36802,38329,39567,39467,40560,41937,43457,42195,43523,44893,45808,47379,49075,50771,53861,58477,58827,64559,67615
 "51000","Virginia",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21809,23245,24772,25688,26744,28112,29888,31765,33267,34647,35537,34817,35834,36759,37420,37932,38804,39386,40161,41090,42642,43710,43004,48248,52466,55713,58224
 "51000","Virginia",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.204,102.426,103.724,103.425,102.494,103.523,103.454,103.570,102.777,101.222,101.957,100.053,101.003,102.300,102.026,101.331,101.104
 "51000","Virginia",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.027,91.078,93.884,95.982,96.892,99.155,100.475,100.773,101.014,101.222,104.044,103.564,105.716,111.479,118.452,122.115,125.031
 "51000","Virginia",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4167798,4261127,4399151,4417451,4421728,4467318,4587035,4700990,4781754,4869298,4870374,4758069,4743177,4802651,4856833,4898617,4953436,5060270,5156659,5229126,5299069,5329257,5224978,5392125,5540662,5716975,5773598
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
