GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "55000","Wisconsin",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",232087.1,242026.0,248572.0,252941.8,257966.9,265745.8,275412.4,282065.7,287146.6,289855.2,286204.7,277279.4,287652.9,293664.0,299007.6,301550.5,309425.8,315687.8,319272.3,321886.8,328832.4,333256.8,324014.4,334848.6,341875.2,347108.2,354382.1
 "55000","Wisconsin",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),264087.5,258677.6,259593.2,270083.7,274612.6,273633.8,280457.6,293691.9,296399.8,302189.3,309112.6,315491.3,338381.1,351814.3,340694.5,342726.0,347364.8
 "55000","Wisconsin",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),217006.9,213253.2,215535.5,220230.3,218874.2,222334.6,227171.9,233829.8,238512.7,243702.6,246872.4,249569.9,246341.5,264391.8,274300.6,276757.4,280238.9
 "55000","Wisconsin",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",163021.5,172928.5,180883.1,188662.8,195541.5,203814.0,216370.4,226937.5,237571.9,245837.7,246493.0,246323.8,256159.5,265444.0,276253.4,283791.4,296169.9,308304.5,315420.0,321886.8,335144.3,346906.6,344691.0,368997.3,403570.3,431913.9,453298.6
 "55000","Wisconsin",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",143130.0,148737.0,158494.2,166593.2,171010.0,175794.3,183721.4,189779.2,201058.4,210529.9,219194.5,216211.9,222260.9,234631.6,244508.3,245762.3,255165.3,266132.0,270846.6,281979.5,295996.8,307947.5,327298.4,357005.4,365050.1,384719.8,403888.3
 "55000","Wisconsin",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",122956.4,127885.1,136613.4,144424.5,151497.8,157031.4,164664.0,168712.5,177637.8,185752.5,193376.8,195506.2,200847.9,209758.0,218843.8,217673.1,226522.3,234745.6,238235.6,249551.8,263392.8,272661.1,292944.7,317684.7,316305.3,341208.9,357899.6
 "55000","Wisconsin",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",108943.1,116373.8,124865.7,130433.5,135786.6,143467.5,152103.7,160323.9,168429.6,174884.0,180266.0,178468.8,184793.5,191591.3,195140.7,199941.2,206949.5,212242.0,218417.9,227938.3,236881.7,244056.1,238927.8,268836.3,294264.0,310911.0,326096.4
 "55000","Wisconsin",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46816,45628,45606,47272,47889,47526,48532,50684,50991,51773,52759,53652,57378,59816,57706,57791,58273
 "55000","Wisconsin",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38470,37616,37866,38547,38169,38616,39311,40353,41032,41753,42136,42442,41771,44952,46460,46668,47012
 "55000","Wisconsin",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27018,27892,29493,30812,31406,32084,33319,34218,36047,37522,38857,38138,39048,41067,42639,42685,44156,45928,46595,48311,50520,52370,55499,60699,61831,64872,67755
 "55000","Wisconsin",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23210,23981,25421,26711,27822,28660,29863,30420,31848,33106,34281,34485,35286,36714,38163,37806,39199,40512,40985,42755,44955,46369,49674,54013,53575,57536,60040
 "55000","Wisconsin",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20564,21823,23235,24124,24937,26184,27585,28907,30197,31169,31956,31480,32465,33534,34030,34727,35812,36628,37575,39052,40430,41504,40514,45708,49842,52427,54705
 "55000","Wisconsin",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),93.159,94.116,94.723,93.742,94.312,93.890,93.799,93.287,93.173,93.531,94.028,94.476,92.666,93.309,92.401,93.220,94.095
 "55000","Wisconsin",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),83.069,83.689,85.737,86.996,89.157,89.928,91.098,90.768,91.575,93.531,95.953,97.791,96.990,101.681,107.278,112.341,116.364
 "55000","Wisconsin",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3287793,3350388,3413585,3403719,3395194,3413427,3467823,3511454,3547006,3585326,3572816,3444538,3426369,3474372,3499342,3539199,3585944,3624473,3657732,3678859,3721096,3717587,3581288,3682367,3767253,3841837,3867941
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
